removed_code,removed_name,removed_state,sd_pc1,mean_absolute_risk_shift,max_absolute_risk_shift,max_rank_shift
1502905,Curuçá,PA,2.24810076783667,3.0125740032737174e-05,0.00015326087608646954,1
2800308,Aracaju,SE,2.246171123199299,2.9814878171361516e-05,0.00015122600069228387,1
3555406,Ubatuba,SP,2.248078559077807,2.9251921472602623e-05,0.00014975848642717615,1
3304524,Rio das Ostras,RJ,2.2461958470340098,2.877050759599863e-05,0.00014732246883264466,1
4118204,Paranaguá,PR,2.248036151327049,2.795211197898676e-05,0.00014307052256673503,1
1501709,Bragança,PA,2.2462435672167196,2.752663656591173e-05,0.00013978831535976788,1
4109609,Guaratuba,PR,2.2462633219492223,2.6697236087679285e-05,0.0001366694642690458,1
3304904,São Gonçalo,RJ,2.2462709043761735,2.64303913652347e-05,0.00013547237062577766,1
2306553,Itarema,CE,2.246276881939733,2.6501885283099824e-05,0.00013452865247493007,1
2414407,Touros,RN,2.2479487291713354,2.5452084289665928e-05,0.0001292829668689821,1
4202073,Balneário Gaivota,SC,2.2479445449892768,2.5079518856043638e-05,0.00012862305126226659,1
4205704,Garopaba,SC,2.246334361650334,2.4485592943900638e-05,0.00012545411855036104,1
4201950,Balneário Arroio do Silva,SC,2.2463346428346878,2.44333632121695e-05,0.00012540972771618586,1
2927408,Salvador,BA,2.2479150760496007,2.43017048447479e-05,0.00012397525838669932,1
1504406,Marapanim,PA,2.247910617084379,2.4222703366353282e-05,0.00012327199046718862,1
2404101,Galinhos,RN,2.2463621820860644,2.3870980086214457e-05,0.00012106211725521066,1
3204203,Piúma,ES,2.2463695544961233,2.343836229114579e-05,0.0001198982501759982,1
2706505,Passo de Camaragibe,AL,2.247824141636404,2.158132030140279e-05,0.00010963270836938932,1
2109601,Rosário,MA,2.246437421488477,2.150656428190549e-05,0.00010918447314262059,1
2922607,Nilo Peçanha,BA,2.2478143129900623,2.1245490595581616e-05,0.00010808244646220988,1
2300200,Acaraú,CE,2.2478127713771427,2.1228042772732517e-05,0.00010783928866220371,1
3300100,Angra dos Reis,RJ,2.246454916249117,2.073878754775181e-05,0.0001064227459665612,1
2313500,Trairi,CE,2.246457688127783,2.0900098763385833e-05,0.00010598517921200923,1
1502608,Colares,PA,2.2477930981325462,2.0601372057574136e-05,0.00010473621812440159,1
3300233,Armação dos Búzios,RJ,2.2477709792810603,1.9770292443202814e-05,0.00010124735662003781,1
3509908,Cananéia,SP,2.2477327428070533,1.859169382365171e-05,9.521611207180536e-05,1
2304400,Fortaleza,CE,2.2476708137720043,1.681710564914188e-05,8.54474159882046e-05,1
2611606,Recife,PE,2.2476676838480576,1.6719846354102657e-05,8.495369153993515e-05,1
3203205,Linhares,ES,2.2476203775661427,1.5203523651958189e-05,7.749132972112438e-05,1
3300258,Arraial do Cabo,RJ,2.247619342397023,1.5073411747674292e-05,7.732803386745202e-05,1
4301636,Balneário Pinhal,RS,2.2476176557451235,1.5024816545138336e-05,7.706196769174944e-05,1
3550704,São Sebastião,SP,2.2476111859232457,1.4813141804632373e-05,7.60413628945189e-05,1
3301306,Casimiro de Abreu,RJ,2.247601326022283,1.455956293604521e-05,7.448597045633942e-05,1
4315602,Rio Grande,RS,2.2466625056870106,1.435710000605057e-05,7.365486149857325e-05,1
3200607,Aracruz,ES,2.2475924446334443,1.4304881243082917e-05,7.30849296596281e-05,1
1507474,São João de Pirabas,PA,2.2475670151761418,1.3567866073848115e-05,6.907338616857217e-05,1
2913457,Igrapiúna,BA,2.2467095894816893,1.3051758028905163e-05,6.622328255651011e-05,1
2507507,João Pessoa,PB,2.2475053632670328,1.1641360212593136e-05,5.934742785185243e-05,1
4201307,Araquari,SC,2.247499969027636,1.144091587031672e-05,5.8496436953159314e-05,1
2103703,Cururupu,MA,2.246792239687701,1.0483772151917574e-05,5.317851013864061e-05,1
2109056,Porto Rico do Maranhão,MA,2.247463421031282,1.0354969178910218e-05,5.27305809522316e-05,1
3300704,Cabo Frio,RJ,2.2474633118348657,1.0273726619735816e-05,5.271335380252484e-05,1
2408102,Natal,RN,2.247450791859691,9.94505497776055e-06,5.073815791117875e-05,1
4208807,Jaguaruna,SC,2.246869949585122,8.006040255584626e-06,4.091406797746e-05,1
4207304,Imbituba,SC,2.247369704098043,7.391615102540896e-06,3.794510081667202e-05,1
1600105,Amapá,AP,2.246921031598585,6.4886842662458984e-06,3.2852444276643133e-05,1
1506302,Salvaterra,PA,2.2469347516981326,6.069588955173086e-06,3.068721819526887e-05,1
2302206,Beberibe,CE,2.2473041763499415,5.424907268726833e-06,2.760645718780097e-05,1
3202405,Guarapari,ES,2.2472771764184474,4.554858660857921e-06,2.3346422240499987e-05,1
3506359,Bertioga,SP,2.246987252075454,4.391926926233295e-06,2.240208113174491e-05,1
4208450,Itapoá,SC,2.247001576982956,3.960132511460223e-06,2.014149892509698e-05,1
3518701,Guarujá,SP,2.247249652778172,3.691091180717508e-06,1.9003685044205465e-05,1
2104909,Guimarães,MA,2.2472154414909284,2.665805068843244e-06,1.360565601710162e-05,1
2908606,Conde,BA,2.2471799989669883,1.5755742481287636e-06,8.013238228077313e-06,1
