grid_lat,grid_lon,thr_hs_abs,thr_zos_abs,zos_mean,mhws_m,n_hs_episodes,n_zos_episodes,n_candidate_events,n_rejected_by_mhws,compound_count_total,compound_count_annual_mean,mean_overlap_duration,p95_overlap_duration,max_overlap_duration,mean_full_criterion_duration,p95_full_criterion_duration,mean_compound_intensity_norm,p95_compound_intensity_norm,max_compound_intensity_norm,mean_integrated_severity,p95_integrated_severity,max_integrated_severity
-30.6,-50.4,1.94,0.322103,0.104434,0.096224,571,592,129,0,129,3.91,1.42,3.0,5,1.42,3.0,0.4243,0.7204,0.8108,0.5991,1.3983,2.9695
-30.6,-50.2,2.53,0.282551,0.102945,0.099211,569,553,214,0,214,6.49,1.57,3.0,5,1.57,3.0,0.4413,0.793,0.9153,0.6939,1.8263,3.6041
-30.6,-50.0,2.89,0.244868,0.106092,0.101106,580,552,235,0,235,7.12,1.66,3.3,6,1.66,3.3,0.4328,0.7804,0.9511,0.7169,1.9424,3.7536
-30.4,-50.2,2.1,0.30499,0.1047,0.108088,556,570,157,0,157,4.76,1.48,3.0,5,1.48,3.0,0.4184,0.7141,0.8575,0.6207,1.4996,3.0831
-30.4,-50.0,2.62,0.266964,0.106848,0.109399,579,547,217,0,217,6.58,1.62,3.0,6,1.62,3.0,0.4313,0.7744,0.9276,0.6929,1.7615,3.7671
-30.4,-49.8,2.97,0.235741,0.104427,0.110999,587,571,238,0,238,7.21,1.66,4.0,6,1.66,4.0,0.4253,0.7698,0.9289,0.7051,1.8831,3.7018
-30.2,-50.0,2.4,0.281295,0.105923,0.120924,555,548,172,0,172,5.21,1.59,3.0,5,1.59,3.0,0.4297,0.7628,0.9043,0.6641,1.6659,3.4054
-30.2,-49.8,2.8,0.250672,0.103083,0.121909,572,553,220,0,220,6.67,1.64,3.0,6,1.64,3.0,0.4245,0.7562,0.9774,0.6935,1.6421,3.7269
-30.0,-50.0,2.1,0.296335,0.1054,0.132162,535,561,129,0,129,3.91,1.47,3.0,5,1.47,3.0,0.4127,0.7155,0.8181,0.6009,1.3992,2.9205
-30.0,-49.8,2.64,0.261981,0.101242,0.133655,574,548,206,0,206,6.24,1.63,3.0,6,1.63,3.0,0.4332,0.7695,0.9448,0.6982,1.6146,3.7449
