hs_percentile,ssh_percentile,n_accepted_episodes,n_accepted_matched,n_accepted_unmatched,n_points_with_episodes,n_points,H,M,U,R_pos,B,F_soft,term_fsoft_raw,Score,degenerate,episodes_per_positive,min_thr_hs_abs,median_thr_hs_abs,median_thr_zos_abs
75,99,449,21,428,12,12,23,124,754,0.156463,0.1072,570.9432,3.8839673469387757,-0.704348,False,3.0544,1.09,1.675,0.5023
80,50,2098,37,2061,12,12,46,101,4171,0.312925,0.5816,2961.9745,20.149486394557822,-3.958459,False,14.2721,1.15,1.76,0.0796
80,55,2105,37,2068,12,12,46,101,4182,0.312925,0.5831,2978.8489,20.26427823129252,-3.981721,False,14.3197,1.15,1.76,0.096
80,60,2114,37,2077,12,12,46,101,4197,0.312925,0.5852,3000.9617,20.41470544217687,-4.01222,False,14.381,1.15,1.76,0.1141
80,65,2117,37,2080,12,12,46,101,4198,0.312925,0.5853,3016.2105,20.518438775510205,-4.032995,False,14.4014,1.15,1.76,0.1318
80,70,2128,37,2091,12,12,46,101,4211,0.312925,0.5871,3045.1318,20.715182312925172,-4.072702,False,14.4762,1.15,1.76,0.1509
80,75,2129,38,2091,12,12,46,101,4199,0.312925,0.5854,3061.0498,20.823468027210883,-4.094028,False,14.483,1.15,1.76,0.1729
80,80,2104,39,2065,12,12,46,101,4125,0.312925,0.5752,3034.4232,20.64233469387755,-4.05576,False,14.3129,1.15,1.76,0.1985
80,85,2040,40,2000,12,12,46,101,3949,0.312925,0.551,2936.4201,19.97564693877551,-3.917568,False,13.8776,1.15,1.76,0.2312
80,90,1813,37,1776,12,12,42,105,3456,0.285714,0.4824,2593.0658,17.63990340136054,-3.453037,False,12.3333,1.15,1.76,0.2765
80,95,1344,33,1311,12,12,38,109,2458,0.258503,0.3442,1864.3256,12.68248707482993,-2.450242,False,9.1429,1.15,1.76,0.3505
80,99,411,17,394,12,12,19,128,681,0.129252,0.0965,517.4182,3.5198517006802716,-0.645727,False,2.7959,1.15,1.76,0.5023
85,50,1815,33,1782,12,12,40,107,3532,0.272109,0.4926,2523.3774,17.165832653061223,-3.368427,False,12.3469,1.23,1.865,0.0796
85,55,1817,33,1784,12,12,40,107,3535,0.272109,0.493,2533.1101,17.23204149659864,-3.381752,False,12.3605,1.23,1.865,0.096
85,60,1819,33,1786,12,12,40,107,3538,0.272109,0.4935,2544.6977,17.310868707482996,-3.3976,False,12.3741,1.23,1.865,0.1141
85,65,1819,33,1786,12,12,40,107,3533,0.272109,0.4928,2552.8837,17.366555782312926,-3.4086,False,12.3741,1.23,1.865,0.1318
85,70,1826,33,1793,12,12,40,107,3539,0.272109,0.4936,2573.5019,17.506815646258506,-3.436817,False,12.4218,1.23,1.865,0.1509
85,75,1825,34,1791,12,12,40,107,3524,0.272109,0.4915,2582.9032,17.570770068027212,-3.449194,False,12.415,1.23,1.865,0.1729
85,80,1802,35,1767,12,12,40,107,3464,0.272109,0.4833,2562.5352,17.432212244897958,-3.419828,False,12.2585,1.23,1.865,0.1985
85,85,1744,35,1709,12,12,40,107,3303,0.272109,0.461,2467.0216,16.78245986394558,-3.285436,False,11.8639,1.23,1.865,0.2312
85,90,1566,32,1534,12,12,36,111,2914,0.244898,0.4068,2197.7081,14.950395238095236,-2.92451,False,10.6531,1.23,1.865,0.2765
