grid_lat,grid_lon,n_compound_events_days,A_absolute_total_level_m,B_excess_over_local_datum_m,C_dimensionless_tidal_phase,D_surge_anomaly_only_m,latitude_band,abs_lat
-31.0,-50.2,414,1.2200614312492706,0.9238102117382385,0.04639475009077066,0.19948595479266115,RS,31.0
-30.8,-50.4,346,1.2060719020234023,0.9099019117222701,0.04334039465921981,0.338533236842698,RS,30.8
-30.8,-50.2,398,1.2323089191044245,0.9343444296444331,0.04164699649910268,0.26489199640405536,RS,30.8
-30.6,-50.4,187,1.1079564687004064,0.8101496871700262,0.043819977080929724,0.3704155425670922,RS,30.6
-30.6,-50.2,344,1.20624576254293,0.9050314847986367,0.039242555290524936,0.3208435454806081,RS,30.6
-30.6,-50.0,400,1.2363373043118044,0.9343996526775882,0.04028171871188786,0.24948252378234514,RS,30.6
-30.4,-50.2,241,1.1284357266461948,0.8210748391187291,0.02595243627575881,0.3484919031097071,RS,30.4
-30.4,-50.0,361,1.2111538614437933,0.9040531601117011,0.02911672148001903,0.2964155342982554,RS,30.4
-30.4,-49.8,406,1.246772654076552,0.9405731094083544,0.035298682449164044,0.2372770867684699,RS,30.4
-30.2,-50.0,282,1.1824613580414167,0.8683218786426894,0.019763817377089814,0.3204921577538794,RS,30.2
-30.2,-49.8,371,1.2355629248901037,0.9238521321101811,0.024862613612763283,0.2708981159433213,RS,30.2
-30.0,-50.0,198,1.1379683805102803,0.8181172502631641,0.0258612227042315,0.3362673527574764,SC/PR,30.0
-30.0,-49.8,345,1.2274928016323543,0.9099397880691982,0.013094420278541038,0.29787351632185327,SC/PR,30.0
-29.8,-49.8,325,1.2047494905017888,0.8815494196437874,0.007093268415328956,0.3235030152891797,SC/PR,29.8
-29.8,-49.6,403,1.2372369428629764,0.9173171361441501,0.011732150637525406,0.27881550261883475,SC/PR,29.8
-29.6,-49.8,267,1.161815915706006,0.8339610499165925,0.006154816901985996,0.3491186542542857,SC/PR,29.6
-29.6,-49.6,367,1.2321037403894057,0.906488900597154,0.004004095130423211,0.31220992801796726,SC/PR,29.6
-29.6,-49.4,418,1.251193581329008,0.9283118111950359,0.008068558355761082,0.2660777831276799,SC/PR,29.6
-29.4,-49.6,324,1.2058681443264638,0.8745074704220451,-0.001976155171652705,0.3422856352382798,SC/PR,29.4
-29.4,-49.4,408,1.2327554166262202,0.9046730279867701,-0.0022743084192450875,0.2983349837241866,SC/PR,29.4
-29.4,-49.2,455,1.2429809537087824,0.9179550614510918,0.0010089097386355558,0.2504044037317387,SC/PR,29.4
-29.2,-49.4,377,1.2262344117703743,0.8939702745023077,-0.007954868635089278,0.3388133117435336,SC/PR,29.2
-29.2,-49.2,448,1.235049785244545,0.9068563531518781,-0.004362941996059963,0.2872481292695174,SC/PR,29.2
-29.2,-49.0,469,1.2440902036231465,0.9187886339229053,-0.005877738859078377,0.23598569171184205,SC/PR,29.2
-29.0,-49.4,314,1.1776335251677756,0.8449106109488732,-0.00045432620259016926,0.36763340056639054,SC/PR,29.0
-29.0,-49.2,437,1.2176117097588097,0.8875326668472802,-0.009341265320154446,0.33037059572512845,SC/PR,29.0
-29.0,-49.0,473,1.2302003728725948,0.9032807456829584,-0.0130244330220662,0.273347293121409,SC/PR,29.0
-29.0,-48.8,483,1.2421218900700286,0.9173098056336122,-0.01156913347922913,0.22020937404012553,SC/PR,29.0
-29.0,-48.6,481,1.2459392009957417,0.9226008294804676,-0.008307317031064371,0.17374026295790831,SC/PR,29.0
-28.8,-49.0,471,1.216344320267882,0.8895875091259141,-0.013101519639866827,0.333549494262362,SC/PR,28.8
-28.8,-48.8,488,1.2352193358339003,0.910073447505348,-0.01788637584100393,0.2695125341973038,SC/PR,28.8
-28.8,-48.6,501,1.242369285655652,0.9170880113369573,-0.01665778562607726,0.20779050391619563,SC/PR,28.8
-28.8,-48.4,476,1.2468111976542893,0.9210301383891527,-0.015994692861708317,0.16017730593285912,SC/PR,28.8
