grid_lat,grid_lon,thr_hs_pct,thr_zos_pct,thr_hs_abs,thr_zos_abs,zos_mean,hat_m,n_hs_episodes,n_zos_episodes,n_candidate_events,n_rejected_by_hat,compound_count_total,compound_count_annual_mean,mean_overlap_duration,p95_overlap_duration,max_overlap_duration,mean_full_criterion_duration,p95_full_criterion_duration,mean_compound_intensity_norm,p95_compound_intensity_norm,max_compound_intensity_norm,mean_integrated_severity,p95_integrated_severity,max_integrated_severity
-28.2,-48.2,0.7,0.99,2.21,0.338121,0.104498,0.459175,1042,87,81,18,63,1.91,1.54,3.9,5.0,1.38,3.0,0.3537,0.6375,0.7173,0.4989,1.2424,1.8321
-28.0,-48.4,0.7,0.99,1.92,0.433193,0.09408,0.46389,1044,83,72,0,72,2.18,1.5,3.0,5.0,1.47,3.0,0.3543,0.6288,0.7656,0.5331,1.3022,1.9961
-28.0,-48.2,0.7,0.99,2.14,0.361206,0.103058,0.468105,1049,83,75,14,61,1.85,1.59,3.0,5.0,1.46,3.0,0.3731,0.6265,0.7581,0.5366,1.3066,1.9117
-27.8,-48.4,0.7,0.99,1.75,0.45833,0.092964,0.476086,1043,84,70,0,70,2.12,1.41,3.0,4.0,1.4,3.0,0.323,0.5761,0.7223,0.4653,1.0058,1.8394
-27.8,-48.2,0.7,0.99,2.05,0.382234,0.101687,0.481567,1056,85,75,11,64,1.94,1.53,3.0,5.0,1.41,3.0,0.3381,0.6148,0.7907,0.4853,1.1962,1.9265
-27.6,-48.4,0.7,0.99,1.49,0.480951,0.093046,0.492605,1050,87,71,0,71,2.15,1.28,2.0,3.0,1.27,2.0,0.301,0.5369,0.6689,0.4064,0.8836,1.7179
-27.6,-48.2,0.7,0.99,1.98,0.401334,0.10046,0.500705,1055,83,72,8,64,1.94,1.53,3.0,5.0,1.41,3.0,0.3188,0.629,0.7634,0.4576,1.1017,1.9914
-27.6,-48.0,0.7,0.99,2.16,0.334097,0.104667,0.501159,1059,85,77,22,55,1.67,1.53,3.0,5.0,1.31,2.3,0.3384,0.5844,0.7553,0.4613,1.1891,1.9119
-27.4,-48.4,0.7,0.99,1.18,0.485302,0.096727,0.537301,1086,92,57,1,56,1.7,1.18,2.0,3.0,1.18,2.0,0.2655,0.516,0.57,0.327,0.6857,1.4676
-27.4,-48.2,0.7,0.99,1.95,0.415279,0.101803,0.528236,1058,85,72,10,62,1.88,1.4,3.0,4.0,1.34,2.95,0.3063,0.6205,0.6783,0.4196,0.9804,1.9026
-27.4,-48.0,0.7,0.99,2.13,0.348729,0.102672,0.524446,1066,87,76,22,54,1.64,1.52,3.0,5.0,1.37,3.0,0.3312,0.5909,0.7723,0.4596,1.0716,1.948
-27.2,-48.4,0.7,0.99,1.29,0.483645,0.097551,0.582978,1078,90,39,2,37,1.12,1.19,2.2,3.0,1.19,2.2,0.2662,0.4799,0.5695,0.3252,0.5274,1.3568
-27.2,-48.2,0.7,0.99,1.79,0.425884,0.103762,0.566661,1077,85,70,13,57,1.73,1.35,3.0,3.0,1.33,2.2,0.2791,0.5691,0.6337,0.361,0.7496,1.6662
-27.2,-48.0,0.7,0.99,2.07,0.365199,0.102155,0.552473,1056,86,77,21,56,1.7,1.46,3.0,5.0,1.36,3.0,0.3191,0.5862,0.7302,0.4244,0.9826,1.947
-27.0,-48.4,0.7,0.99,1.44,0.476197,0.104245,0.629906,1013,89,39,7,32,0.97,1.19,2.45,3.0,1.16,2.0,0.2937,0.4917,0.5947,0.3273,0.5131,1.2832
-27.0,-48.2,0.7,0.99,1.81,0.430489,0.104683,0.611887,1081,86,71,15,56,1.7,1.27,2.0,3.0,1.21,2.0,0.2861,0.5469,0.6321,0.3428,0.6949,1.6305
-26.8,-48.4,0.7,0.99,1.51,0.475709,0.104052,0.677386,1038,87,46,9,37,1.12,1.22,2.2,3.0,1.19,2.0,0.3008,0.5117,0.5844,0.3373,0.5671,1.336
-26.8,-48.2,0.7,0.99,1.8,0.43666,0.104442,0.657062,1083,84,69,14,55,1.67,1.29,2.3,3.0,1.24,2.0,0.2846,0.5575,0.6243,0.3438,0.6702,1.6031
-26.6,-48.6,0.7,0.99,1.32,0.512669,0.104919,0.750584,1028,95,40,5,35,1.06,1.09,1.3,3.0,1.06,1.3,0.2648,0.5107,0.6145,0.2807,0.5419,0.8203
-26.6,-48.4,0.7,0.99,1.51,0.480854,0.103449,0.728177,1064,87,54,10,44,1.33,1.23,2.0,3.0,1.2,2.0,0.275,0.5209,0.5915,0.3103,0.5555,1.3328
-26.6,-48.2,0.7,0.99,1.77,0.442573,0.103524,0.707378,1071,85,68,20,48,1.45,1.27,2.65,3.0,1.21,2.0,0.284,0.5555,0.6208,0.3447,0.6424,1.5588
-26.4,-48.4,0.7,0.99,1.26,0.491175,0.103151,0.786422,1102,89,56,13,43,1.3,1.26,2.0,3.0,1.16,2.0,0.2679,0.5108,0.5876,0.3065,0.5589,1.3133
