grid_lat,grid_lon,n_finite_days,hat_m,thr_hs_q50,thr_zos_q50,thr_hs_q55,thr_zos_q55,thr_hs_q60,thr_zos_q60,thr_hs_q65,thr_zos_q65,thr_hs_q70,thr_zos_q70,thr_hs_q75,thr_zos_q75,thr_hs_q80,thr_zos_q80,thr_hs_q85,thr_zos_q85,thr_hs_q90,thr_zos_q90,thr_hs_q95,thr_zos_q95,thr_hs_q99,thr_zos_q99
-31.0,-50.6,12053,0.388655,1.65,0.079225,1.71,0.098086,1.78,0.117069,1.85,0.136725,1.93,0.158329,2.01,0.184087,2.11,0.211984,2.23,0.250435,2.4,0.300475,2.68,0.383426,3.33,0.546302
-31.0,-50.4,12053,0.392952,1.87,0.090029,1.94,0.103702,2.02,0.118057,2.1,0.132267,2.19,0.148246,2.28,0.16596,2.4,0.18775,2.542,0.214313,2.73,0.251092,3.06,0.314985,3.8,0.445466
-31.0,-50.2,12053,0.39588,2.04,0.102421,2.12,0.112796,2.21,0.123782,2.29,0.13439,2.4,0.146244,2.51,0.159675,2.64,0.175704,2.8,0.195454,3.028,0.218686,3.4,0.262764,4.32,0.354679
-30.8,-50.4,12053,0.395301,1.7,0.086002,1.77,0.103138,1.842,0.120019,1.92,0.138841,1.99,0.158467,2.08,0.181572,2.18,0.207789,2.31,0.243757,2.48,0.290833,2.76,0.367993,3.4148,0.522757
-30.8,-50.2,12053,0.398879,1.94,0.093386,2.02,0.106429,2.1,0.119928,2.18,0.133892,2.27,0.149684,2.38,0.167022,2.5,0.188302,2.64,0.214309,2.85,0.247742,3.19,0.307652,3.9748,0.431327
-30.6,-50.4,12053,0.39741,1.35,0.08483,1.4,0.103277,1.45,0.122821,1.51,0.144823,1.57,0.168464,1.64,0.194463,1.71,0.225858,1.81,0.265298,1.94,0.322103,2.16,0.404666,2.64,0.569709
-30.6,-50.2,12053,0.404066,1.74,0.088272,1.81,0.104939,1.89,0.120743,1.96,0.138553,2.03,0.157653,2.12,0.178802,2.23,0.20501,2.36,0.239618,2.53,0.282551,2.81,0.353048,3.48,0.501684
-30.6,-50.0,12053,0.406059,1.97,0.097354,2.05,0.110025,2.12,0.121952,2.21,0.13538,2.3,0.150822,2.41,0.168035,2.53,0.187506,2.68,0.211872,2.89,0.244868,3.23,0.298068,4.04,0.413882
-30.4,-50.2,12053,0.412557,1.46,0.08832,1.51,0.104978,1.57,0.12319,1.63,0.143984,1.7,0.164456,1.76,0.188411,1.85,0.218816,1.95,0.254523,2.1,0.30499,2.32,0.380107,2.8,0.537201
-30.4,-50.0,12053,0.413877,1.81,0.093814,1.88,0.10828,1.95,0.123307,2.03,0.139213,2.11,0.15656,2.2,0.175115,2.31,0.19859,2.45,0.2279,2.62,0.266964,2.91,0.332286,3.5848,0.474951
-30.4,-49.8,12053,0.413275,2.01,0.09661,2.09,0.108346,2.17,0.120513,2.26,0.133402,2.35,0.147699,2.46,0.164383,2.59,0.182667,2.75,0.204668,2.97,0.235741,3.33,0.285399,4.2048,0.395837
-30.2,-50.0,12053,0.423298,1.66,0.092105,1.73,0.107096,1.79,0.123246,1.86,0.141118,1.93,0.159429,2.01,0.179937,2.116,0.205426,2.24,0.237751,2.4,0.281295,2.66,0.351378,3.25,0.50421
-30.2,-49.8,12053,0.421627,1.91,0.092056,1.98,0.105506,2.06,0.119135,2.14,0.133927,2.23,0.150366,2.33,0.167338,2.44,0.188012,2.6,0.216278,2.8,0.250672,3.12,0.309013,3.87,0.438044
-30.0,-50.0,12053,0.431692,1.46,0.090945,1.51,0.10651,1.57,0.1236,1.63,0.143742,1.69,0.163579,1.76,0.187078,1.85,0.213935,1.95,0.249947,2.1,0.296335,2.34,0.371227,2.81,0.527055
-30.0,-49.8,12053,0.430222,1.81,0.088381,1.88,0.103275,1.95,0.117679,2.03,0.133731,2.11,0.152677,2.21,0.170903,2.31,0.193669,2.452,0.225102,2.64,0.261981,2.94,0.327731,3.62,0.471376
-29.8,-49.8,12053,0.438053,1.67,0.086684,1.74,0.102249,1.8,0.118511,1.87,0.137044,1.94,0.15621,2.04,0.177239,2.14,0.203096,2.26,0.237057,2.43,0.279454,2.7,0.351295,3.3,0.502901
-29.8,-49.6,12053,0.435056,1.86,0.084035,1.93,0.098729,2.01,0.112506,2.09,0.128652,2.18,0.145163,2.28,0.163653,2.4,0.184312,2.54,0.212995,2.74,0.250035,3.054,0.312444,3.83,0.444113
-29.6,-49.8,12053,0.444409,1.48,0.085427,1.53,0.102758,1.59,0.119645,1.65,0.140491,1.71,0.162275,1.79,0.186552,1.88,0.215239,1.99,0.252009,2.14,0.299768,2.37,0.377951,2.91,0.537439
-29.6,-49.6,12053,0.44245,1.77,0.081008,1.83,0.097001,1.9,0.113224,1.98,0.129506,2.06,0.148662,2.16,0.169342,2.27,0.193679,2.4,0.226282,2.58,0.267119,2.88,0.335854,3.5248,0.481749
-29.6,-49.4,12053,0.439253,1.92,0.082791,1.99,0.095809,2.07,0.109393,2.15,0.123721,2.24,0.140085,2.35,0.157171,2.47,0.178169,2.63,0.205889,2.83,0.240375,3.16,0.298301,3.99,0.424741
-29.4,-49.6,12053,0.44899,1.63,0.081106,1.69,0.098764,1.75,0.115717,1.82,0.135296,1.89,0.157219,1.98,0.180365,2.08,0.20901,2.19,0.244151,2.348,0.290769,2.61,0.36772,3.23,0.524958
-29.4,-49.4,12053,0.445521,1.82,0.07792,1.89,0.09323,1.96,0.108673,2.04,0.125085,2.12,0.143867,2.22,0.162724,2.33,0.186883,2.47,0.218528,2.66,0.257661,2.96,0.323261,3.7048,0.467442
