grid_lat,grid_lon,compound_count_total,mean_integrated_severity,compound_count_annual_mean,mean_overlap_duration,mean_full_criterion_duration,mean_compound_intensity_norm,thr_hs_abs,thr_zos_abs,hat_m,Hazard_Frequency,Hazard_Severity,Hazard_Index,Hazard_Index_raw
-32.200001,-51.600006,90,0.692200,2.730000,1.310000,1.310000,0.511400,1.990000,0.581334,0.475387,0.909091,0.692200,0.800645,0.800645
-32.000000,-51.799988,93,0.608000,2.820000,1.230000,1.230000,0.471500,1.200000,0.695939,0.502180,0.939394,0.608000,0.773697,0.773697
-32.000000,-51.600006,91,0.665500,2.760000,1.290000,1.290000,0.500200,1.590000,0.640666,0.460966,0.919192,0.665500,0.792346,0.792346
-32.000000,-51.399994,90,0.720000,2.730000,1.310000,1.310000,0.530800,2.020000,0.570662,0.421791,0.909091,0.720000,0.814545,0.814545
-32.000000,-51.200012,82,0.766100,2.490000,1.430000,1.430000,0.529300,2.250000,0.484353,0.388714,0.828283,0.766100,0.797191,0.797191
-31.799999,-51.399994,92,0.719100,2.790000,1.280000,1.280000,0.543900,1.610000,0.643971,0.402355,0.929293,0.719100,0.824196,0.824196
-31.799999,-51.200012,88,0.762500,2.670000,1.340000,1.340000,0.552600,2.070000,0.559950,0.381555,0.888889,0.762500,0.825694,0.825694
-31.799999,-51.000000,82,0.718200,2.490000,1.440000,1.440000,0.488400,2.290000,0.453950,0.383175,0.828283,0.718200,0.773241,0.773241
-31.600000,-51.200012,89,0.733700,2.700000,1.310000,1.310000,0.540900,1.620000,0.626257,0.376494,0.898990,0.733700,0.816345,0.816345
-31.600000,-51.000000,85,0.736600,2.580000,1.380000,1.380000,0.518600,2.080000,0.533029,0.380624,0.858586,0.736600,0.797593,0.797593
-31.600000,-50.799988,82,0.621600,2.490000,1.400000,1.400000,0.429100,2.340000,0.414176,0.382144,0.828283,0.621600,0.724941,0.724941
-31.400000,-50.799988,83,0.685100,2.520000,1.400000,1.400000,0.484300,2.180000,0.507877,0.381983,0.838384,0.685100,0.761742,0.761742
-31.400000,-50.600006,77,0.588600,2.330000,1.450000,1.440000,0.406400,2.360000,0.387117,0.386440,0.777778,0.588600,0.683189,0.683189
-31.200001,-50.799988,88,0.683300,2.670000,1.330000,1.330000,0.503600,1.930000,0.578968,0.380958,0.888889,0.683300,0.786094,0.786094
-31.200001,-50.600006,84,0.605800,2.550000,1.380000,1.380000,0.426600,2.090000,0.473308,0.387122,0.848485,0.605800,0.727142,0.727142
-31.200001,-50.399994,73,0.528800,2.210000,1.490000,1.410000,0.360600,2.320000,0.364967,0.391040,0.737374,0.528800,0.633087,0.633087
-31.000000,-50.600006,80,0.606900,2.420000,1.350000,1.350000,0.445400,1.930000,0.546302,0.388655,0.808081,0.606900,0.707490,0.707490
-31.000000,-50.399994,83,0.555600,2.520000,1.390000,1.390000,0.395600,2.190000,0.445466,0.392952,0.838384,0.555600,0.696992,0.696992
-31.000000,-50.200012,66,0.526800,2.000000,1.520000,1.410000,0.367900,2.400000,0.354679,0.395880,0.666667,0.526800,0.596733,0.596733
-30.799999,-50.399994,83,0.575300,2.520000,1.340000,1.340000,0.422500,1.990000,0.522757,0.395301,0.838384,0.575300,0.706842,0.706842
-30.799999,-50.200012,78,0.561100,2.360000,1.460000,1.450000,0.397200,2.270000,0.431327,0.398879,0.787879,0.561100,0.674489,0.674489
-30.600000,-50.399994,68,0.469700,2.060000,1.220000,1.220000,0.393400,1.570000,0.569709,0.397410,0.686869,0.469700,0.578284,0.578284
-30.600000,-50.200012,80,0.559600,2.420000,1.400000,1.400000,0.407800,2.030000,0.501684,0.404066,0.808081,0.559600,0.683840,0.683840
-30.600000,-50.000000,81,0.529600,2.450000,1.410000,1.410000,0.385000,2.300000,0.413882,0.406059,0.818182,0.529600,0.673891,0.673891
-30.400000,-50.200012,75,0.486500,2.270000,1.320000,1.320000,0.375100,1.700000,0.537201,0.412557,0.757576,0.486500,0.622038,0.622038
-30.400000,-50.000000,83,0.528000,2.520000,1.360000,1.360000,0.394200,2.110000,0.474951,0.413877,0.838384,0.528000,0.683192,0.683192
-30.400000,-49.799988,78,0.533800,2.360000,1.420000,1.410000,0.389800,2.350000,0.395837,0.413275,0.787879,0.533800,0.660839,0.660839
-30.200001,-50.000000,83,0.486900,2.520000,1.330000,1.330000,0.375400,1.930000,0.504210,0.423298,0.838384,0.486900,0.662642,0.662642
-30.200001,-49.799988,80,0.546000,2.420000,1.430000,1.430000,0.399600,2.230000,0.438044,0.421627,0.808081,0.546000,0.677040,0.677040
-30.000000,-50.000000,71,0.468400,2.150000,1.320000,1.320000,0.362200,1.690000,0.527055,0.431692,0.717172,0.468400,0.592786,0.592786
-30.000000,-49.799988,79,0.551800,2.390000,1.390000,1.390000,0.405200,2.110000,0.471376,0.430222,0.797980,0.551800,0.674890,0.674890
-29.799999,-49.799988,82,0.536500,2.490000,1.370000,1.370000,0.399000,1.940000,0.502901,0.438053,0.828283,0.536500,0.682391,0.682391
-29.799999,-49.600006,80,0.575100,2.420000,1.430000,1.430000,0.418300,2.180000,0.444113,0.435056,0.808081,0.575100,0.691590,0.691590
-29.600000,-49.799988,80,0.499500,2.420000,1.300000,1.300000,0.383200,1.710000,0.537439,0.444409,0.808081,0.499500,0.653790,0.653790
-29.600000,-49.600006,80,0.579100,2.420000,1.400000,1.400000,0.425100,2.060000,0.481749,0.442450,0.808081,0.579100,0.693590,0.693590
-29.600000,-49.399994,78,0.586000,2.360000,1.450000,1.420000,0.416800,2.240000,0.424741,0.439253,0.787879,0.586000,0.686939,0.686939
-29.400000,-49.600006,78,0.556700,2.360000,1.360000,1.360000,0.407200,1.890000,0.524958,0.448990,0.787879,0.556700,0.672289,0.672289
-29.400000,-49.399994,78,0.587500,2.360000,1.420000,1.420000,0.420600,2.120000,0.467442,0.445521,0.787879,0.587500,0.687689,0.687689
-29.400000,-49.200012,80,0.557700,2.420000,1.450000,1.400000,0.408800,2.270000,0.409275,0.441797,0.808081,0.557700,0.682890,0.682890
-29.200001,-49.399994,80,0.570800,2.420000,1.380000,1.380000,0.413400,1.990000,0.513148,0.449673,0.808081,0.570800,0.689440,0.689440
-29.200001,-49.200012,80,0.588700,2.420000,1.430000,1.430000,0.420100,2.160000,0.452147,0.446082,0.808081,0.588700,0.698390,0.698390
-29.200001,-49.000000,77,0.552200,2.330000,1.450000,1.390000,0.403300,2.300000,0.390634,0.443349,0.777778,0.552200,0.664989,0.664989
-29.000000,-49.399994,77,0.566300,2.330000,1.360000,1.360000,0.417500,1.710000,0.564854,0.449269,0.777778,0.566300,0.672039,0.672039
-29.000000,-49.200012,79,0.609300,2.390000,1.410000,1.410000,0.427300,1.990000,0.501091,0.447561,0.797980,0.609300,0.703640,0.703640
-29.000000,-49.000000,77,0.614700,2.330000,1.490000,1.490000,0.427700,2.160000,0.435328,0.445677,0.777778,0.614700,0.696239,0.696239
-29.000000,-48.799988,75,0.559400,2.270000,1.480000,1.370000,0.401200,2.290000,0.378113,0.443778,0.757576,0.559400,0.658488,0.658488
-29.000000,-48.600006,56,0.510600,1.700000,1.520000,1.360000,0.372700,2.380000,0.322592,0.442453,0.565657,0.510600,0.538128,0.538128
-28.799999,-49.000000,80,0.657400,2.420000,1.440000,1.440000,0.454300,1.940000,0.506818,0.445228,0.808081,0.657400,0.732740,0.732740
-28.799999,-48.799988,77,0.644800,2.330000,1.510000,1.510000,0.439400,2.150000,0.432148,0.444728,0.777778,0.644800,0.711289,0.711289
-28.799999,-48.600006,71,0.554400,2.150000,1.510000,1.410000,0.405700,2.300000,0.361943,0.444776,0.717172,0.554400,0.635786,0.635786
-28.799999,-48.399994,48,0.476000,1.450000,1.580000,1.330000,0.340600,2.380000,0.308629,0.444843,0.484848,0.476000,0.480424,0.480424
-28.600000,-48.799988,79,0.717100,2.390000,1.460000,1.460000,0.487400,1.910000,0.511988,0.441854,0.797980,0.717100,0.757540,0.757540
-28.600000,-48.600006,76,0.608400,2.300000,1.530000,1.500000,0.416400,2.114000,0.412320,0.446283,0.767677,0.608400,0.688038,0.688038
-28.600000,-48.399994,60,0.568300,1.820000,1.550000,1.500000,0.385400,2.280000,0.338439,0.448277,0.606061,0.568300,0.587180,0.587180
-28.400000,-48.600006,72,0.583800,2.180000,1.510000,1.510000,0.378700,1.850000,0.459957,0.447478,0.727273,0.583800,0.655536,0.655536
-28.400000,-48.399994,71,0.550200,2.150000,1.550000,1.480000,0.381800,2.170000,0.375002,0.451957,0.717172,0.550200,0.633686,0.633686
-28.200001,-48.600006,68,0.538600,2.060000,1.460000,1.460000,0.365200,1.700000,0.497254,0.449557,0.686869,0.538600,0.612734,0.612734
-28.200001,-48.399994,70,0.561800,2.120000,1.560000,1.530000,0.366400,2.010000,0.407737,0.455688,0.707071,0.561800,0.634435,0.634435
-28.200001,-48.200012,63,0.498900,1.910000,1.540000,1.380000,0.353700,2.210000,0.338121,0.459175,0.636364,0.498900,0.567632,0.567632
-28.000000,-48.399994,72,0.533100,2.180000,1.500000,1.470000,0.354300,1.920000,0.433193,0.463890,0.727273,0.533100,0.630186,0.630186
-28.000000,-48.200012,61,0.536600,1.850000,1.590000,1.460000,0.373100,2.140000,0.361206,0.468105,0.616162,0.536600,0.576381,0.576381
-27.799999,-48.399994,70,0.465300,2.120000,1.410000,1.400000,0.323000,1.750000,0.458330,0.476086,0.707071,0.465300,0.586185,0.586185
-27.799999,-48.200012,64,0.485300,1.940000,1.530000,1.410000,0.338100,2.050000,0.382234,0.481567,0.646465,0.485300,0.565882,0.565882
-27.600000,-48.399994,71,0.406400,2.150000,1.280000,1.270000,0.301000,1.490000,0.480951,0.492605,0.717172,0.406400,0.561786,0.561786
-27.600000,-48.200012,64,0.457600,1.940000,1.530000,1.410000,0.318800,1.980000,0.401334,0.500705,0.646465,0.457600,0.552032,0.552032
-27.600000,-48.000000,55,0.461300,1.670000,1.530000,1.310000,0.338400,2.160000,0.334097,0.501159,0.555556,0.461300,0.508428,0.508428
-27.400000,-48.399994,56,0.327000,1.700000,1.180000,1.180000,0.265500,1.180000,0.485302,0.537301,0.565657,0.327000,0.446328,0.446328
-27.400000,-48.200012,62,0.419600,1.880000,1.400000,1.340000,0.306300,1.950000,0.415279,0.528236,0.626263,0.419600,0.522931,0.522931
-27.400000,-48.000000,54,0.459600,1.640000,1.520000,1.370000,0.331200,2.130000,0.348729,0.524446,0.545455,0.459600,0.502527,0.502527
-27.200001,-48.399994,37,0.325200,1.120000,1.190000,1.190000,0.266200,1.290000,0.483645,0.582978,0.373737,0.325200,0.349469,0.349469
-27.200001,-48.200012,57,0.361000,1.730000,1.350000,1.330000,0.279100,1.790000,0.425884,0.566661,0.575758,0.361000,0.468379,0.468379
-27.200001,-48.000000,56,0.424400,1.700000,1.460000,1.360000,0.319100,2.070000,0.365199,0.552473,0.565657,0.424400,0.495028,0.495028
-27.000000,-48.399994,32,0.327300,0.970000,1.190000,1.160000,0.293700,1.440000,0.476197,0.629906,0.323232,0.327300,0.325266,0.325266
-27.000000,-48.200012,56,0.342800,1.700000,1.270000,1.210000,0.286100,1.810000,0.430489,0.611887,0.565657,0.342800,0.454228,0.454228
-26.799999,-48.399994,37,0.337300,1.120000,1.220000,1.190000,0.300800,1.510000,0.475709,0.677386,0.373737,0.337300,0.355519,0.355519
-26.799999,-48.200012,55,0.343800,1.670000,1.290000,1.240000,0.284600,1.800000,0.436660,0.657062,0.555556,0.343800,0.449678,0.449678
-26.600000,-48.600006,35,0.280700,1.060000,1.090000,1.060000,0.264800,1.320000,0.512669,0.750584,0.353535,0.280700,0.317118,0.317118
-26.600000,-48.399994,44,0.310300,1.330000,1.230000,1.200000,0.275000,1.510000,0.480854,0.728177,0.444444,0.310300,0.377372,0.377372
-26.600000,-48.200012,48,0.344700,1.450000,1.270000,1.210000,0.284000,1.770000,0.442573,0.707378,0.484848,0.344700,0.414774,0.414774
-26.400000,-48.399994,43,0.306500,1.300000,1.260000,1.160000,0.267900,1.260000,0.491175,0.786422,0.434343,0.306500,0.370422,0.370422
-26.400000,-48.200012,49,0.339700,1.490000,1.240000,1.180000,0.281300,1.720000,0.454473,0.763106,0.494949,0.339700,0.417325,0.417325
-26.200001,-48.399994,40,0.292100,1.210000,1.250000,1.150000,0.244600,1.030000,0.503602,0.868401,0.404040,0.292100,0.348070,0.348070
-26.200001,-48.200012,44,0.332800,1.330000,1.200000,1.140000,0.277700,1.550000,0.470428,0.825459,0.444444,0.332800,0.388622,0.388622
-26.000000,-48.399994,37,0.293100,1.120000,1.140000,1.110000,0.248000,0.990000,0.515635,0.940288,0.373737,0.293100,0.333419,0.333419
-26.000000,-48.200012,42,0.315700,1.270000,1.260000,1.140000,0.270700,1.440000,0.489386,0.890884,0.424242,0.315700,0.369971,0.369971
-25.799999,-48.200012,40,0.331200,1.210000,1.230000,1.150000,0.282300,1.400000,0.508009,0.951877,0.404040,0.331200,0.367620,0.367620
-25.799999,-48.000000,42,0.374900,1.270000,1.310000,1.210000,0.309000,1.670000,0.475203,0.893305,0.424242,0.374900,0.399571,0.399571
-25.600000,-48.399994,37,0.329200,1.120000,1.220000,1.160000,0.277000,1.030000,0.546474,1.065991,0.373737,0.329200,0.351469,0.351469
-25.600000,-48.200012,38,0.354000,1.150000,1.260000,1.180000,0.301600,1.290000,0.528216,1.007499,0.383838,0.354000,0.368919,0.368919
-25.600000,-48.000000,41,0.359400,1.240000,1.290000,1.200000,0.299800,1.590000,0.495586,0.944670,0.414141,0.359400,0.386771,0.386771
-25.600000,-47.799988,48,0.367200,1.450000,1.330000,1.250000,0.317800,1.760000,0.464495,0.889423,0.484848,0.367200,0.426024,0.426024
-25.400000,-48.000000,45,0.372400,1.360000,1.330000,1.200000,0.314200,1.470000,0.522750,0.972441,0.454545,0.372400,0.413473,0.413473
-25.400000,-47.799988,46,0.377700,1.390000,1.350000,1.260000,0.320900,1.600000,0.492566,0.928446,0.464646,0.377700,0.421173,0.421173
-25.400000,-47.600006,48,0.385900,1.450000,1.350000,1.250000,0.331900,1.790000,0.461903,0.876343,0.484848,0.385900,0.435374,0.435374
-25.200001,-47.799988,50,0.373000,1.520000,1.300000,1.220000,0.312000,1.450000,0.523600,0.953431,0.505051,0.373000,0.439025,0.439025
-25.200001,-47.600006,50,0.381600,1.520000,1.340000,1.240000,0.329900,1.700000,0.489610,0.909957,0.505051,0.381600,0.443325,0.443325
-25.000000,-47.799988,48,0.316000,1.450000,1.250000,1.210000,0.253300,1.010000,0.546095,0.960678,0.484848,0.316000,0.400424,0.400424
-25.000000,-47.600006,53,0.388400,1.610000,1.300000,1.250000,0.323700,1.590000,0.519301,0.928360,0.535354,0.388400,0.461877,0.461877
-25.000000,-47.399994,51,0.430200,1.550000,1.350000,1.290000,0.349100,1.710000,0.491191,0.886895,0.515152,0.430200,0.472676,0.472676
-25.000000,-47.200012,50,0.444500,1.520000,1.400000,1.320000,0.356300,1.810000,0.458377,0.842559,0.505051,0.444500,0.474775,0.474775
-24.799999,-47.399994,55,0.430300,1.670000,1.310000,1.250000,0.354800,1.580000,0.527572,0.900160,0.555556,0.430300,0.492928,0.492928
-24.799999,-47.200012,52,0.452100,1.580000,1.400000,1.310000,0.362800,1.740000,0.495925,0.861248,0.525253,0.452100,0.488676,0.488676
-24.799999,-47.000000,51,0.460900,1.550000,1.450000,1.350000,0.358300,1.830000,0.464187,0.823436,0.515152,0.460900,0.488026,0.488026
-24.799999,-46.799988,44,0.484100,1.330000,1.500000,1.390000,0.370900,1.900000,0.430262,0.791171,0.444444,0.484100,0.464272,0.464272
-24.600000,-47.200012,59,0.448400,1.790000,1.410000,1.310000,0.351200,1.560000,0.541866,0.864213,0.595960,0.448400,0.522180,0.522180
-24.600000,-47.000000,57,0.458200,1.730000,1.420000,1.320000,0.362000,1.720000,0.508424,0.835846,0.575758,0.458200,0.516979,0.516979
-24.600000,-46.799988,55,0.466400,1.670000,1.420000,1.350000,0.366300,1.790000,0.471034,0.807554,0.555556,0.466400,0.510978,0.510978
-24.600000,-46.600006,50,0.494100,1.520000,1.520000,1.340000,0.382400,1.890000,0.439337,0.779478,0.505051,0.494100,0.499575,0.499575
-24.400000,-46.799988,58,0.501600,1.760000,1.470000,1.360000,0.383400,1.660000,0.511817,0.818604,0.585859,0.501600,0.543729,0.543729
-24.400000,-46.600006,57,0.519100,1.730000,1.490000,1.390000,0.388600,1.740000,0.483378,0.793456,0.575758,0.519100,0.547429,0.547429
-24.400000,-46.399994,55,0.533100,1.670000,1.510000,1.360000,0.407100,1.820000,0.455203,0.766807,0.555556,0.533100,0.544328,0.544328
-24.400000,-46.200012,53,0.533000,1.610000,1.700000,1.400000,0.401500,1.870000,0.428423,0.740575,0.535354,0.533000,0.534177,0.534177
-24.400000,-46.000000,50,0.529400,1.520000,1.740000,1.380000,0.405500,1.940000,0.405737,0.718592,0.505051,0.529400,0.517225,0.517225
-24.400000,-45.200012,29,0.562900,0.880000,2.000000,1.620000,0.374200,2.130000,0.310408,0.628043,0.292929,0.562900,0.427915,0.427915
-24.200001,-46.600006,68,0.491400,2.060000,1.490000,1.370000,0.362300,1.650000,0.519876,0.800581,0.686869,0.491400,0.589134,0.589134
-24.200001,-46.399994,67,0.521600,2.030000,1.520000,1.370000,0.385600,1.710000,0.497989,0.776560,0.676768,0.521600,0.599184,0.599184
-24.200001,-46.200012,66,0.522700,2.000000,1.530000,1.360000,0.390900,1.750000,0.472245,0.750144,0.666667,0.522700,0.594683,0.594683
-24.200001,-46.000000,61,0.550500,1.850000,1.670000,1.430000,0.395900,1.824000,0.444901,0.728185,0.616162,0.550500,0.583331,0.583331
-24.200001,-45.799988,60,0.562900,1.820000,1.720000,1.430000,0.410000,1.910000,0.423619,0.706449,0.606061,0.562900,0.584480,0.584480
-24.200001,-45.600006,54,0.568300,1.640000,1.740000,1.410000,0.421100,1.940000,0.399430,0.682859,0.545455,0.568300,0.556877,0.556877
-24.200001,-45.399994,44,0.605400,1.330000,1.890000,1.550000,0.426600,2.010000,0.372946,0.659380,0.444444,0.605400,0.524922,0.524922
-24.200001,-45.200012,36,0.610200,1.090000,2.000000,1.670000,0.395600,2.060000,0.340921,0.638479,0.363636,0.610200,0.486918,0.486918
-24.200001,-45.000000,31,0.526800,0.940000,2.100000,1.550000,0.370900,2.100000,0.307043,0.622446,0.313131,0.526800,0.419966,0.419966
-24.000000,-46.399994,72,0.544200,2.180000,1.500000,1.360000,0.399100,1.360000,0.533314,0.774999,0.727273,0.544200,0.635736,0.635736
-24.000000,-46.200012,70,0.547100,2.120000,1.540000,1.410000,0.391300,1.460000,0.516709,0.749386,0.707071,0.547100,0.627085,0.627085
-24.000000,-46.000000,70,0.591700,2.120000,1.560000,1.430000,0.423900,1.680000,0.496988,0.732638,0.707071,0.591700,0.649385,0.649385
-24.000000,-45.799988,69,0.589400,2.090000,1.590000,1.460000,0.414800,1.700000,0.473016,0.713567,0.696970,0.589400,0.643185,0.643185
-24.000000,-45.600006,69,0.581400,2.090000,1.610000,1.460000,0.412400,1.740000,0.454133,0.691409,0.696970,0.581400,0.639185,0.639185
-24.000000,-45.399994,68,0.601800,2.060000,1.650000,1.500000,0.421800,1.850000,0.437813,0.665422,0.686869,0.601800,0.644334,0.644334
-24.000000,-45.200012,62,0.569000,1.880000,1.690000,1.520000,0.398800,1.950000,0.397507,0.643223,0.626263,0.569000,0.597631,0.597631
-24.000000,-45.000000,43,0.590100,1.300000,1.950000,1.630000,0.383100,2.020000,0.350047,0.632645,0.434343,0.590100,0.512222,0.512222
-24.000000,-44.799988,34,0.592600,1.030000,2.030000,1.680000,0.371900,2.070000,0.316433,0.622273,0.343434,0.592600,0.468017,0.468017
-23.799999,-45.799988,77,0.660600,2.330000,1.520000,1.420000,0.464600,1.350000,0.515067,0.716081,0.777778,0.660600,0.719189,0.719189
