grid_lat,grid_lon,thr_hs_abs,thr_zos_abs,zos_mean,n_hs_episodes,n_zos_episodes,n_candidate_events,hat_m,n_rejected_by_hat,compound_count_total,compound_count_annual_mean,mean_overlap_duration,p95_overlap_duration,max_overlap_duration,mean_full_criterion_duration,p95_full_criterion_duration,mean_compound_intensity_norm,p95_compound_intensity_norm,max_compound_intensity_norm,mean_integrated_severity,p95_integrated_severity,max_integrated_severity
-29.8,-49.6,2.74,0.250035,0.096261,567,546,230,0.435056,80,150,4.55,1.95,4.0,6.0,1.61,3.0,0.3531,0.7342,0.9377,0.5326,1.3531,2.9422
-29.6,-49.8,2.14,0.299768,0.100793,513,567,172,0.444409,24,148,4.49,1.55,3.0,6.0,1.43,2.0,0.3137,0.6612,0.8243,0.4204,1.1505,2.7274
-29.6,-49.6,2.58,0.267119,0.09474,562,554,216,0.44245,49,167,5.06,1.8,4.0,6.0,1.54,3.0,0.3359,0.7143,0.8712,0.4921,1.3718,3.0697
-29.6,-49.4,2.83,0.240375,0.093312,557,541,234,0.439253,89,145,4.39,2.01,4.0,6.0,1.63,3.8,0.3631,0.7045,0.9655,0.5491,1.383,2.9497
-29.4,-49.6,2.348,0.290769,0.096182,525,564,198,0.44899,30,168,5.09,1.67,3.0,6.0,1.54,3.0,0.3231,0.7253,0.9084,0.4682,1.3975,3.2725
-29.4,-49.4,2.66,0.257661,0.090965,557,546,232,0.445521,68,164,4.97,1.89,4.0,6.0,1.61,3.0,0.3419,0.7088,0.8832,0.5123,1.3861,3.1127
-29.4,-49.2,2.86,0.231666,0.0926,562,545,249,0.441797,104,145,4.39,2.1,4.0,6.0,1.61,3.0,0.3534,0.6962,0.977,0.5335,1.357,2.965
-29.2,-49.4,2.47,0.279629,0.090743,540,557,221,0.449673,36,185,5.61,1.77,3.0,6.0,1.58,3.0,0.3274,0.743,0.9199,0.4891,1.3527,3.3765
-29.2,-49.2,2.7,0.247735,0.087951,558,544,250,0.446082,81,169,5.12,1.98,4.0,6.0,1.63,3.6,0.3433,0.7039,0.8977,0.5242,1.3619,3.1708
-29.2,-49.0,2.9,0.224543,0.095278,562,541,255,0.443349,120,135,4.09,2.13,4.0,6.0,1.58,3.0,0.352,0.6803,0.9672,0.5179,1.2836,2.9486
-29.0,-49.4,2.12,0.310311,0.092442,507,578,202,0.449269,18,184,5.58,1.55,3.0,6.0,1.49,3.0,0.3206,0.6595,0.8792,0.4505,1.1293,3.2603
-29.0,-49.2,2.48,0.271116,0.085944,546,547,249,0.447561,41,208,6.3,1.83,4.0,6.0,1.63,3.0,0.3272,0.7467,0.9248,0.4984,1.3424,3.4156
-29.0,-49.0,2.72,0.239875,0.088502,546,546,260,0.445677,95,165,5.0,2.08,4.0,6.0,1.65,3.0,0.3499,0.6828,0.9192,0.5333,1.3359,3.1676
-29.0,-48.8,2.92,0.218683,0.097313,555,546,261,0.443778,147,114,3.45,2.22,4.0,6.0,1.56,3.0,0.3727,0.6544,0.9375,0.5482,1.3982,2.9235
-29.0,-48.6,3.06,0.203926,0.105334,561,548,264,0.442453,192,72,2.18,2.26,4.0,7.0,1.46,2.45,0.3766,0.6638,0.7887,0.5278,1.245,2.6826
-28.8,-49.0,2.468,0.272091,0.083165,529,546,261,0.445228,38,223,6.76,1.87,4.0,6.0,1.67,3.0,0.3411,0.7063,0.9418,0.5304,1.3634,3.593
-28.8,-48.8,2.74,0.239449,0.087761,551,544,269,0.444728,94,175,5.3,2.04,4.0,6.0,1.62,3.0,0.348,0.6781,0.9301,0.5306,1.307,3.1947
-28.8,-48.6,2.96,0.215826,0.097997,557,557,274,0.444776,165,109,3.3,2.12,4.0,6.0,1.52,3.0,0.3771,0.656,0.884,0.5372,1.4046,2.8758
-28.8,-48.4,3.08,0.200776,0.107444,555,545,258,0.444843,197,61,1.85,2.23,5.0,7.0,1.34,2.0,0.3775,0.6505,0.7319,0.4906,1.2257,2.3211
-28.6,-48.8,2.45,0.279791,0.083504,532,555,278,0.441854,36,242,7.33,1.88,4.0,6.0,1.68,4.0,0.3525,0.7441,0.9549,0.5522,1.4149,3.69
-28.6,-48.6,2.71,0.236073,0.091288,555,549,266,0.446283,97,169,5.12,2.05,4.0,6.0,1.58,3.0,0.3311,0.6929,0.8831,0.487,1.2894,3.194
-28.6,-48.4,2.95,0.212027,0.102172,553,562,270,0.448277,182,88,2.67,2.16,4.0,7.0,1.53,3.0,0.3728,0.668,0.7976,0.5348,1.2942,2.764
-28.4,-48.6,2.34,0.256445,0.088191,550,555,249,0.447478,60,189,5.73,1.83,4.0,6.0,1.58,3.0,0.295,0.6716,0.8518,0.4401,1.3418,3.1771
-28.4,-48.4,2.81,0.224089,0.098764,556,556,274,0.451957,142,132,4.0,2.08,4.0,6.0,1.51,3.0,0.3323,0.6793,0.8233,0.4639,1.3065,2.8782
-28.2,-48.6,2.14,0.271338,0.087313,566,566,203,0.449557,35,168,5.09,1.57,3.0,6.0,1.43,3.0,0.297,0.6293,0.8468,0.3942,1.0244,2.7722
-28.2,-48.4,2.58,0.235924,0.096169,568,556,262,0.455688,104,158,4.79,1.93,4.0,6.0,1.51,3.0,0.3021,0.6498,0.8588,0.4207,1.203,3.0864
-28.2,-48.2,2.87,0.213064,0.104498,564,575,284,0.459175,182,102,3.09,2.04,4.0,6.0,1.46,3.0,0.3339,0.6615,0.7788,0.453,1.1862,2.7417
-28.0,-48.4,2.46,0.247908,0.09408,560,560,246,0.46389,77,169,5.12,1.75,3.0,6.0,1.46,3.0,0.2937,0.6249,0.894,0.4021,1.1609,3.143
-28.0,-48.2,2.78,0.220515,0.103058,567,567,282,0.468105,166,116,3.52,1.92,4.0,6.0,1.46,3.0,0.3238,0.6504,0.8282,0.4395,1.2582,2.994
-27.8,-48.4,2.23,0.257979,0.092964,563,563,230,0.476086,68,162,4.91,1.59,3.0,6.0,1.37,3.0,0.2677,0.6049,0.7849,0.3541,1.07,2.7935
-27.8,-48.2,2.64,0.227608,0.101687,578,568,278,0.481567,138,140,4.24,1.79,4.0,6.0,1.39,3.0,0.2854,0.6029,0.8674,0.3806,1.091,3.0387
-27.6,-48.4,1.9,0.269996,0.093046,560,577,217,0.492605,66,151,4.58,1.43,3.0,6.0,1.3,2.5,0.255,0.5598,0.8144,0.328,0.9457,2.4289
-27.6,-48.2,2.55,0.23548,0.10046,569,574,264,0.500705,128,136,4.12,1.74,4.0,7.0,1.38,3.0,0.2872,0.5818,0.8824,0.3727,1.0401,3.036
-27.6,-48.0,2.81,0.210822,0.104667,572,568,283,0.501159,191,92,2.79,1.85,4.0,6.0,1.4,3.0,0.3163,0.6003,0.8248,0.4285,1.0797,2.9208
-27.4,-48.4,1.5,0.272949,0.096727,602,576,181,0.537301,65,116,3.52,1.33,2.25,4.0,1.23,2.0,0.221,0.4871,0.6141,0.2717,0.6488,1.3652
-27.4,-48.2,2.5,0.242918,0.101803,576,582,250,0.528236,121,129,3.91,1.62,3.0,6.0,1.36,3.0,0.2803,0.5872,0.7733,0.371,0.9962,2.7431
-27.4,-48.0,2.77,0.21435,0.102672,583,577,291,0.524446,190,101,3.06,1.71,3.0,6.0,1.38,3.0,0.2929,0.6084,0.8452,0.3902,1.1472,2.4407
-27.2,-48.4,1.64,0.273394,0.097551,597,582,157,0.582978,62,95,2.88,1.27,2.3,3.0,1.22,2.0,0.2176,0.4648,0.648,0.2571,0.6691,0.9967
-27.2,-48.2,2.29,0.247106,0.103762,580,582,229,0.566661,115,114,3.45,1.51,3.0,6.0,1.28,2.0,0.2422,0.5277,0.6868,0.307,0.8068,2.1213
-27.2,-48.0,2.68,0.220099,0.102155,581,580,284,0.552473,174,110,3.33,1.67,3.55,7.0,1.28,2.0,0.2735,0.6092,0.8303,0.3504,1.0465,2.6462
-27.0,-48.4,1.82,0.269343,0.104245,543,588,139,0.629906,66,73,2.21,1.23,2.0,3.0,1.14,2.0,0.201,0.4211,0.6048,0.2343,0.6217,0.7804
-27.0,-48.2,2.33,0.249826,0.104683,584,583,221,0.611887,120,101,3.06,1.49,3.0,6.0,1.24,2.0,0.2559,0.5554,0.6528,0.3131,0.7481,2.0378
-26.8,-48.4,1.93,0.26993,0.104052,568,594,177,0.677386,92,85,2.58,1.32,3.0,4.0,1.16,2.0,0.2259,0.4918,0.6484,0.2664,0.6484,0.8487
-26.8,-48.2,2.32,0.253116,0.104442,580,584,237,0.657062,135,102,3.09,1.49,3.0,6.0,1.24,2.0,0.2527,0.5538,0.6743,0.3085,0.764,1.9734
-26.6,-48.6,1.69,0.29291,0.104919,565,613,162,0.750584,80,82,2.49,1.24,2.0,3.0,1.13,2.0,0.2081,0.4383,0.61,0.2381,0.651,0.805
-26.6,-48.4,1.94,0.272845,0.103449,570,595,200,0.728177,112,88,2.67,1.34,3.0,4.0,1.15,2.0,0.2234,0.5127,0.6524,0.2625,0.6706,0.8679
-26.6,-48.2,2.29,0.255433,0.103524,588,588,249,0.707378,151,98,2.97,1.5,3.0,6.0,1.22,2.0,0.252,0.5445,0.6759,0.3048,0.7664,1.8951
-26.4,-48.4,1.63,0.279368,0.103151,598,601,212,0.786422,122,90,2.73,1.43,3.0,4.0,1.18,2.0,0.229,0.496,0.654,0.2547,0.6424,0.9605
-26.4,-48.2,2.24,0.260656,0.102609,573,594,246,0.763106,159,87,2.64,1.49,3.0,5.0,1.2,2.0,0.259,0.5687,0.6555,0.308,0.7677,1.6967
-26.2,-48.4,1.34,0.286512,0.103907,592,614,201,0.868401,117,84,2.55,1.36,2.85,4.0,1.11,2.0,0.208,0.4474,0.6504,0.2207,0.5294,0.7691
-26.2,-48.2,2.0,0.269416,0.102032,590,597,252,0.825459,163,89,2.7,1.49,3.0,5.0,1.19,2.0,0.2515,0.5421,0.6206,0.2951,0.7009,1.6136
-26.0,-48.4,1.26,0.295223,0.103868,609,624,199,0.940288,121,78,2.36,1.35,2.15,4.0,1.09,2.0,0.2153,0.4687,0.6634,0.2227,0.5257,0.7937
-26.0,-48.2,1.85,0.279148,0.101391,595,599,242,0.890884,154,88,2.67,1.5,3.0,4.0,1.18,2.0,0.245,0.5379,0.6173,0.278,0.6997,1.1036
-25.8,-48.2,1.8,0.28848,0.101785,623,613,256,0.951877,169,87,2.64,1.43,3.0,3.0,1.15,2.0,0.2512,0.5368,0.6557,0.2764,0.634,1.2408
-25.8,-48.0,2.15,0.271432,0.101349,601,593,278,0.893305,183,95,2.88,1.53,3.0,5.0,1.19,2.0,0.2683,0.5828,0.6944,0.3199,0.7435,1.7429
-25.6,-48.4,1.33,0.313349,0.104679,631,631,268,1.065991,177,91,2.76,1.4,2.5,5.0,1.14,2.0,0.2281,0.4969,0.6326,0.2551,0.7137,1.2911
-25.6,-48.2,1.67,0.299426,0.101752,619,625,270,1.007499,174,96,2.91,1.43,3.0,5.0,1.12,2.0,0.2387,0.5186,0.6572,0.2621,0.6382,1.3331
-25.6,-48.0,2.06,0.281381,0.101261,604,597,278,0.94467,187,91,2.76,1.55,3.0,5.0,1.18,2.0,0.2738,0.577,0.7158,0.3198,0.7776,1.3827
-25.6,-47.8,2.27,0.264722,0.10065,604,588,286,0.889423,191,95,2.88,1.6,3.0,6.0,1.22,2.0,0.275,0.6076,0.723,0.3395,0.9075,2.0157
-25.4,-48.0,1.89,0.295627,0.101044,605,617,295,0.972441,183,112,3.39,1.55,3.0,6.0,1.16,2.0,0.2644,0.5887,0.7158,0.2981,0.7397,1.4237
-25.4,-47.8,2.06,0.278879,0.100596,608,602,293,0.928446,189,104,3.15,1.61,3.0,5.0,1.19,2.0,0.2718,0.5715,0.7168,0.3233,0.847,1.4139
-25.4,-47.6,2.31,0.262731,0.099648,602,583,298,0.876343,192,106,3.21,1.61,3.0,5.0,1.25,2.0,0.2804,0.6183,0.7332,0.3404,0.9551,1.5046
