grid_lat,grid_lon,surge_q90_anomaly_cm,surge_q99_anomaly_cm,springneap_swing_cm,surge_q99_over_swing,zos_seasonal_amplitude_cm,zos_synoptic_residual_std_cm,seasonal_over_synoptic,latitude_band,hs_q99_m,wave_setup_proxy_cm,storm_component_cm,q_storm_over_tide,n_compound_zos,n_compound_ssh_total,rayleigh_R_compound_zos,rayleigh_p_compound_zos,rayleigh_R_compound_ssh_total,rayleigh_p_compound_ssh_total,branch,selected_R,selected_p,selected_locked
-34.0,-53.4,26.22757477524627,60.31450111630308,56.39993026852608,1.069407370348497,18.22256295713701,19.224063300413043,0.9479038157737176,RS,3.140000104904175,62.800002098083496,123.11450321438657,2.182883961526642,269,248,0.0384258602969655,0.6726035050794111,0.1081046237392249,0.0549727830569709,keep_tide_SSH_total,0.1081046237392249,0.0549727830569709,False
-34.0,-53.2,23.116416668426748,54.34637949420183,55.01849874854088,0.9877837587424744,17.28400540100129,16.946667278172896,1.0199058680560091,RS,3.5847999191284137,71.69599838256828,126.0423778767701,2.2909090713805202,289,263,0.0343582927594935,0.7112917114561643,0.1173339426500139,0.0266117361458218,keep_tide_SSH_total,0.1173339426500139,0.0266117361458218,False
-34.0,-53.0,19.798653781377563,48.47018426653074,52.708398550748825,0.9195912909374884,16.241784507420864,14.77990622192278,1.0989098485164746,RS,4.019999980926514,80.39999961853027,128.870183885061,2.444964890386148,295,258,0.0375796586769255,0.6596480187726099,0.1166486594739142,0.0297253693995411,keep_tide_SSH_total,0.1166486594739142,0.0297253693995411,False
-33.8,-53.4,28.749187419458856,64.47827250723499,60.49729138612747,1.0658042869340822,18.5897047676787,20.854569719026085,0.8913971862348664,RS,2.490000009536743,49.80000019073486,114.27827269796985,1.8889816399974364,266,251,0.0141934927715959,0.9479162598022772,0.0967887718931203,0.0951586171145856,keep_tide_SSH_total,0.0967887718931203,0.0951586171145856,False
-33.8,-53.2,26.10431688240725,60.46545594147398,58.6341492831707,1.0312327658999378,18.003618914463047,19.15210376305607,0.94003348860252,RS,3.0847999191284137,61.69599838256828,122.16145432404225,2.083452319467783,287,261,0.0218723970183027,0.8719017006659643,0.1052271620814795,0.0554393978012162,keep_tide_SSH_total,0.1052271620814795,0.0554393978012162,False
-33.8,-53.0,23.283396957515297,54.99432647049284,56.28429651260376,0.9770811732216984,17.179511058109064,17.191833064513602,0.999283263956886,RS,3.6548000907897906,73.09600181579582,128.09032828628864,2.275773816549441,304,274,0.0303043871947371,0.756702493100704,0.1010293062156526,0.0608868478494811,keep_tide_SSH_total,0.1010293062156526,0.0608868478494811,False
-33.8,-52.8,20.925063111195676,49.20284054459102,53.80574017763138,0.9144533721152316,16.27627811239182,15.47988525157193,1.0514469485966649,RS,4.059999942779541,81.19999885559082,130.40283940018185,2.423586014608793,307,274,0.0392429324605802,0.6236324040305934,0.1260474851436038,0.0127436197759126,keep_tide_SSH_total,0.1260474851436038,0.0127436197759126,False
-33.6,-53.0,26.76463752302253,61.32113271268922,59.20295789837837,1.035778192331989,17.925004199328626,19.568110339695977,0.916031435236026,RS,2.4148000812530475,48.29600162506095,109.61713433775017,1.851548271049354,309,275,0.0177699910894849,0.9071716486386244,0.1001029878551719,0.063445860900821,keep_tide_SSH_total,0.1001029878551719,0.063445860900821,False
-33.6,-52.8,24.504864192874862,56.22816321936409,57.189881056547165,0.9831837762307608,17.288152647460368,17.965208848575227,0.9623129234498964,RS,3.3447999095916705,66.89599819183341,123.1241614111975,2.152901162523088,302,269,0.025235056329947,0.8252835118443943,0.1036529434084037,0.0554363400638835,keep_tide_SSH_total,0.1036529434084037,0.0554363400638835,False
-33.6,-52.6,21.526238127493624,50.17584113671754,54.25610542297363,0.9247962187030034,16.33685062421079,15.95619291509405,1.023856424345224,RS,3.940000057220459,78.80000114440918,128.97584228112672,2.377167348737024,303,270,0.0301655241292164,0.7593250899476434,0.1055510538059497,0.0492474126381717,keep_tide_SSH_total,0.1055510538059497,0.0492474126381717,False
-33.4,-52.8,27.973769429122324,62.31506812850128,60.37219613790512,1.0321815689155676,18.033863750658107,20.30087296330346,0.8883294715087735,RS,2.759999990463257,55.19999980926514,117.51506793776642,1.9465097421556896,304,269,0.0412742019914971,0.5961573399690033,0.112406200339806,0.033263278201506,keep_tide_SSH_total,0.112406200339806,0.033263278201506,False
-33.4,-52.6,24.6395507938834,56.08070086312015,57.87986665964127,0.968915515871849,17.192561824023517,18.049838821360197,0.952505005400814,RS,3.2847999668121295,65.6959993362426,121.77670019936275,2.103956128915476,306,269,0.0327517828027732,0.7205132280712037,0.0940220264805485,0.0926583742457455,keep_tide_SSH_total,0.0940220264805485,0.0926583742457455,False
-33.4,-52.4,20.576187820360506,47.9815071534369,53.2644659280777,0.90081645084409,15.903496163727556,15.157844094998756,1.049192488328523,RS,3.7699999809265137,75.39999961853027,123.38150677196717,2.3163943282293973,298,262,0.0440408015274196,0.5614073402054957,0.1135796306297628,0.0338991878884316,keep_tide_SSH_total,0.1135796306297628,0.0338991878884316,False
-33.2,-52.6,27.85912697667614,60.88086431378854,60.30004397034645,1.0096321711428224,17.717499371975265,20.13726592074765,0.8798363909829847,RS,2.6548000907897906,53.096001815795816,113.97686612958435,1.8901622391127006,278,243,0.0446294789558562,0.5752232019091903,0.1132995133983969,0.044027071145082,keep_tide_SSH_total,0.1132995133983969,0.044027071145082,False
