municipality_name,state,compound_c,mean_overl,mean_compo,Hazard_Index,frequency_minmax,duration_minmax,intensity_minmax,hazard_former_count_only,hazard_current_multimetric_raw,hazard_current_multimetric,hazard_count_only_minus_multimetric
Tibau do Sul,RN,66.000000,1.800000,0.269300,0.202911,0.082437,0.432000,0.323525,0.060241,0.279321,0.202911,-0.142670
Natal,RN,72.000000,1.750000,0.355800,0.285623,0.103943,0.392000,0.461110,0.084337,0.319018,0.285623,-0.201286
Extremoz,RN,69.000000,1.680000,0.380800,0.266879,0.093190,0.336000,0.500875,0.072289,0.310022,0.266879,-0.194590
Maxaranguape,RN,71.000000,1.720000,0.393000,0.307560,0.100358,0.368000,0.520280,0.080321,0.329546,0.307560,-0.227239
Touros,RN,69.000000,1.640000,0.381700,0.245648,0.093190,0.304000,0.502306,0.072289,0.299832,0.245648,-0.173359
Macau,RN,66.000000,1.940000,0.324500,0.341678,0.082437,0.544000,0.411325,0.060241,0.345921,0.341678,-0.281437
Galinhos,RN,74.000000,1.890000,0.331700,0.341766,0.111111,0.504000,0.422777,0.092369,0.345963,0.341766,-0.249397
São Miguel do Gostoso,RN,76.000000,1.550000,0.336000,0.162582,0.118280,0.232000,0.429617,0.100402,0.259965,0.162582,-0.062180
Grossos,RN,88.000000,1.610000,0.515200,0.423756,0.161290,0.280000,0.714649,0.148594,0.385313,0.423756,-0.275162
Areia Branca,RN,82.000000,1.550000,0.376100,0.221817,0.139785,0.232000,0.493399,0.124498,0.288395,0.221817,-0.097319
Porto do Mangue,RN,81.000000,1.590000,0.375200,0.240559,0.136201,0.264000,0.491968,0.120482,0.297389,0.240559,-0.120077
São Bento do Norte,RN,72.000000,1.580000,0.367000,0.203540,0.103943,0.256000,0.478925,0.084337,0.279622,0.203540,-0.119203
Pedra Grande,RN,74.000000,1.510000,0.375600,0.179125,0.111111,0.200000,0.492604,0.092369,0.267905,0.179125,-0.086756
Icapuí,CE,89.000000,1.610000,0.337400,0.229828,0.164875,0.280000,0.431843,0.152610,0.292239,0.229828,-0.077218
Aracati,CE,83.000000,1.590000,0.389500,0.261335,0.143369,0.264000,0.514713,0.128514,0.307361,0.261335,-0.132821
Beberibe,CE,85.000000,1.610000,0.364200,0.249477,0.150538,0.280000,0.474471,0.136546,0.301670,0.249477,-0.112931
Cascavel,CE,83.000000,1.590000,0.375000,0.245317,0.143369,0.264000,0.491649,0.128514,0.299673,0.245317,-0.116803
Aquiraz,CE,88.000000,1.640000,0.381000,0.292173,0.161290,0.304000,0.501193,0.148594,0.322161,0.292173,-0.143579
Caucaia,CE,85.000000,1.610000,0.346700,0.230145,0.150538,0.280000,0.446636,0.136546,0.292391,0.230145,-0.093599
Trairi,CE,94.000000,1.560000,0.326000,0.201900,0.182796,0.240000,0.413711,0.172691,0.278836,0.201900,-0.029209
Paraipaba,CE,84.000000,1.620000,0.389900,0.280935,0.146953,0.288000,0.515349,0.132530,0.316768,0.280935,-0.148405
Itapipoca,CE,97.000000,1.570000,0.367700,0.260991,0.193548,0.248000,0.480038,0.184739,0.307196,0.260991,-0.076252
Luís Correia,PI,94.000000,1.540000,0.300100,0.162176,0.182796,0.224000,0.372515,0.172691,0.259770,0.162176,0.010515
Cajueiro da Praia,PI,87.000000,1.710000,0.311500,0.251800,0.157706,0.360000,0.390647,0.144578,0.302784,0.251800,-0.107222
Barroquinha,CE,85.000000,1.710000,0.359100,0.299405,0.150538,0.360000,0.466359,0.136546,0.325632,0.299405,-0.162859
Camocim,CE,86.000000,1.780000,0.321000,0.298699,0.154122,0.416000,0.405758,0.140562,0.325293,0.298699,-0.158137
Jijoca de Jericoacoara,CE,87.000000,1.700000,0.309600,0.244145,0.157706,0.352000,0.387625,0.144578,0.299110,0.244145,-0.099567
Cruz,CE,87.000000,1.770000,0.335600,0.311761,0.157706,0.408000,0.428980,0.144578,0.331562,0.311761,-0.167183
Acaraú,CE,88.000000,1.660000,0.362500,0.282848,0.161290,0.320000,0.471767,0.148594,0.317686,0.282848,-0.134254
Itarema,CE,86.000000,1.710000,0.403100,0.350502,0.154122,0.360000,0.536345,0.140562,0.350156,0.350502,-0.209940
Amontada,CE,93.000000,1.670000,0.417300,0.361389,0.179211,0.328000,0.558931,0.168675,0.355381,0.361389,-0.192714
Tutóia,MA,97.000000,1.510000,0.376500,0.237375,0.193548,0.200000,0.494035,0.184739,0.295861,0.237375,-0.052636
Araioses,MA,96.000000,1.580000,0.355600,0.250691,0.189964,0.256000,0.460792,0.180723,0.302252,0.250691,-0.069968
Raposa,MA,93.000000,1.760000,0.431100,0.426640,0.179211,0.400000,0.580881,0.168675,0.386698,0.426640,-0.257965
Icatu,MA,95.000000,1.680000,0.504400,0.468144,0.186380,0.336000,0.697471,0.176707,0.406617,0.468144,-0.291437
Barreirinhas,MA,88.000000,1.660000,0.416800,0.342834,0.161290,0.320000,0.558136,0.148594,0.346475,0.342834,-0.194240
Humberto de Campos,MA,100.000000,1.590000,0.501300,0.427160,0.204301,0.264000,0.692540,0.196787,0.386947,0.427160,-0.230373
Primeira Cruz,MA,95.000000,1.570000,0.501000,0.403270,0.186380,0.248000,0.692063,0.176707,0.375481,0.403270,-0.226563
Guimarães,MA,91.000000,1.700000,0.477400,0.439472,0.172043,0.352000,0.654525,0.160643,0.392856,0.439472,-0.278829
Cedral,MA,96.000000,1.550000,0.483700,0.375535,0.189964,0.232000,0.664546,0.180723,0.362170,0.375535,-0.194812
Vigia,PA,100.000000,1.940000,0.497700,0.617652,0.204301,0.544000,0.686814,0.196787,0.478372,0.617652,-0.420865
Bacuri,MA,95.000000,1.580000,0.505000,0.413245,0.186380,0.256000,0.698425,0.176707,0.380268,0.413245,-0.236538
Apicum-Açu,MA,93.000000,1.470000,0.504200,0.346264,0.179211,0.168000,0.697153,0.168675,0.348121,0.346264,-0.177589
Cururupu,MA,104.000000,1.480000,0.495700,0.369813,0.218638,0.176000,0.683633,0.212851,0.359424,0.369813,-0.156962
Godofredo Viana,MA,87.000000,1.390000,0.507900,0.290965,0.157706,0.104000,0.703038,0.144578,0.321581,0.290965,-0.146387
Viseu,PA,98.000000,1.290000,0.511100,0.266320,0.197133,0.024000,0.708128,0.188755,0.309753,0.266320,-0.077565
Luís Domingues,MA,100.000000,1.440000,0.544900,0.391982,0.204301,0.144000,0.761890,0.196787,0.370064,0.391982,-0.195195
Salvaterra,PA,86.000000,1.900000,0.499300,0.562344,0.154122,0.512000,0.689359,0.140562,0.451827,0.562344,-0.421782
Bragança,PA,104.000000,1.440000,0.533300,0.389125,0.218638,0.144000,0.743439,0.212851,0.368692,0.389125,-0.176274
Augusto Corrêa,PA,95.000000,1.460000,0.542200,0.387665,0.186380,0.160000,0.757595,0.176707,0.367992,0.387665,-0.210958
São Caetano de Odivelas,PA,89.000000,1.550000,0.497400,0.373244,0.164875,0.232000,0.686337,0.152610,0.361070,0.373244,-0.220634
São João de Pirabas,PA,92.000000,1.600000,0.490700,0.401092,0.175627,0.272000,0.675680,0.164659,0.374436,0.401092,-0.236433
Quatipuru,PA,88.000000,1.700000,0.559600,0.522811,0.161290,0.352000,0.785271,0.148594,0.432854,0.522811,-0.374217
Tracuateua,PA,89.000000,1.670000,0.572400,0.522772,0.164875,0.328000,0.805631,0.152610,0.432835,0.522772,-0.370162
Curuçá,PA,99.000000,1.740000,0.508300,0.515748,0.200717,0.384000,0.703674,0.192771,0.429464,0.515748,-0.322977
Maracanã,PA,87.000000,1.760000,0.539300,0.531234,0.157706,0.400000,0.752982,0.144578,0.436896,0.531234,-0.386656
Soure,PA,99.000000,1.540000,0.455500,0.346294,0.200717,0.224000,0.619691,0.192771,0.348136,0.346294,-0.153523
Chaves,PA,127.000000,2.020000,0.392600,0.613210,0.301075,0.608000,0.519644,0.305221,0.476240,0.613210,-0.307989
Macapá,AP,118.000000,1.890000,0.501300,0.638656,0.268817,0.504000,0.692540,0.269076,0.488452,0.638656,-0.369580
Amapá,AP,66.000000,2.180000,0.475200,0.641508,0.082437,0.736000,0.651026,0.060241,0.489821,0.641508,-0.581267
Calçoene,AP,65.000000,2.170000,0.525800,0.689360,0.078853,0.728000,0.731509,0.056225,0.512788,0.689360,-0.633135
Oiapoque,AP,75.000000,1.790000,0.293000,0.245940,0.114695,0.424000,0.361222,0.096386,0.299972,0.245940,-0.149554
Imbé,RS,131.000000,1.460000,0.262700,0.168516,0.315412,0.160000,0.313027,0.321285,0.262813,0.168516,0.152769
Osório,RS,131.000000,1.460000,0.262700,0.168516,0.315412,0.160000,0.313027,0.321285,0.262813,0.168516,0.152769
Balneário Pinhal,RS,165.000000,1.580000,0.328900,0.392961,0.437276,0.256000,0.418324,0.457831,0.370533,0.392961,0.064870
Xangri-lá,RS,131.000000,1.460000,0.262700,0.168516,0.315412,0.160000,0.313027,0.321285,0.262813,0.168516,0.152769
Terra de Areia,RS,168.000000,1.460000,0.276900,0.276309,0.448029,0.160000,0.335613,0.469880,0.314547,0.276309,0.193571
Capão da Canoa,RS,168.000000,1.460000,0.276900,0.276309,0.448029,0.160000,0.335613,0.469880,0.314547,0.276309,0.193571
Passo de Torres,SC,192.000000,1.560000,0.322700,0.442211,0.534050,0.240000,0.408462,0.566265,0.394171,0.442211,0.124054
Balneário Rincão,SC,254.000000,1.670000,0.347900,0.685509,0.756272,0.328000,0.448545,0.815261,0.510939,0.685509,0.129752
Paulo Lopes,SC,243.000000,1.510000,0.337400,0.557627,0.716846,0.200000,0.431843,0.771084,0.449563,0.557627,0.213457
Florianópolis,SC,220.000000,1.420000,0.289900,0.397892,0.634409,0.128000,0.356291,0.678715,0.372900,0.397892,0.280823
Tijucas,SC,149.000000,1.280000,0.178300,0.020074,0.379928,0.016000,0.178782,0.393574,0.191570,0.020074,0.373500
Porto Belo,SC,149.000000,1.280000,0.178300,0.020074,0.379928,0.016000,0.178782,0.393574,0.191570,0.020074,0.373500
Itapema,SC,149.000000,1.280000,0.178300,0.020074,0.379928,0.016000,0.178782,0.393574,0.191570,0.020074,0.373500
Itajaí,SC,122.000000,1.270000,0.226000,0.000000,0.283154,0.008000,0.254652,0.285141,0.181936,0.000000,0.285141
Navegantes,SC,122.000000,1.270000,0.226000,0.000000,0.283154,0.008000,0.254652,0.285141,0.181936,0.000000,0.285141
Balneário Piçarras,SC,148.000000,1.330000,0.257500,0.132859,0.376344,0.056000,0.304756,0.389558,0.245700,0.132859,0.256699
São José,SC,220.000000,1.420000,0.289900,0.397892,0.634409,0.128000,0.356291,0.678715,0.372900,0.397892,0.280823
Biguaçu,SC,163.000000,1.310000,0.141400,0.030830,0.430108,0.040000,0.120089,0.449799,0.196732,0.030830,0.418969
Barra Velha,SC,140.000000,1.260000,0.222700,0.035607,0.347670,0.000000,0.249404,0.357430,0.199025,0.035607,0.321823
Araquari,SC,140.000000,1.260000,0.222700,0.035607,0.347670,0.000000,0.249404,0.357430,0.199025,0.035607,0.321823
Matinhos,PR,152.000000,1.300000,0.169300,0.028712,0.390681,0.032000,0.164466,0.405622,0.195716,0.028712,0.376910
Itanhaém,SP,248.000000,1.630000,0.338000,0.637411,0.734767,0.296000,0.432798,0.791165,0.487855,0.637411,0.153754
São Vicente,SP,285.000000,1.660000,0.279800,0.681892,0.867384,0.320000,0.340226,0.939759,0.509203,0.681892,0.257867
Santos,SP,285.000000,1.660000,0.279800,0.681892,0.867384,0.320000,0.340226,0.939759,0.509203,0.681892,0.257867
Itaguaí,RJ,244.000000,1.610000,0.092400,0.345025,0.720430,0.280000,0.042150,0.775100,0.347527,0.345025,0.430075
São Gonçalo,RJ,229.000000,1.860000,0.337000,0.716802,0.666667,0.480000,0.431207,0.714859,0.525958,0.716802,-0.001943
Itaboraí,RJ,229.000000,1.860000,0.337000,0.716802,0.666667,0.480000,0.431207,0.714859,0.525958,0.716802,-0.001943
Guapimirim,RJ,229.000000,1.860000,0.337000,0.716802,0.666667,0.480000,0.431207,0.714859,0.525958,0.716802,-0.001943
