Disaster ID,Dates of occurrence (mm/dd/yyyy),Months,Municipalities,Coastal Sectors,EM or SPC,hgt,Wspd (m/s),Wdir (m/s),Hs (m),Hsdir (°),HsPp (s),WP,Number of Human Damage,Material Damage (BRL),Environmental Damage (BRL),Public Economic Losses (BRL),Private Economic Losses (BRL)
59,10/23/2018,October,Balneário Barra do Sul,North,*,1312.858642578125,8.30475767256336,190.3357004127481,0.8137499,132.55501,11.79,5,0,0,0,0,0
60,2018-12-03 00:00:00,December,Balneário Barra do Sul,North,*,1102.854248046875,12.66409491436321,339.0891702921018,1.42625,145.09624,9.43625,3,0,0,0,0,0
61,2019-03-21 00:00:00,March,Balneário Camboriú,Central-north,*,1177.49609375,11.66706904068027,348.430027952098,1.88375,130.60501,11.235,5,0,0,0,0,0
61,2019-03-22 00:00:00,March,Barra Velha,North,*,1543.48095703125,10.69647138078722,331.9495692914227,1.6600001,120.12625,11.68125,5,0,0,0,0,0
62,2019-03-27 00:00:00,March,Balneário Barra do Sul,North,*,1576.7265625,8.778707194114633,321.7071406626592,1.1075,140.46625,11.1449995,1,0,0,0,0,0
63,2019-06-13 00:00:00,June,Balneário Barra do Sul,North,*,1634.55859375,6.766653530364918,185.087104854347,0.6175,88.755005,7.37875,1,0,0,0,0,0
64,2019-07-21 00:00:00,July,Itapoá,North,*,1750.3828125,5.465610670364291,207.4558303089925,1.65375,103.262505,15.869999,4,0,6000,0,0,0
65,2019-07-22 00:00:00,July,Balneário Piçarras,Central-north,*,1627.16015625,10.17693961856903,196.8502351151785,2.7087502,99.57,16.5575,2,2802,1453077.85,0,60562.37,28129.5
66,2019-07-29 00:00:00,July,Balneário Barra do Sul,North,*,2123.1240234375,3.183410121237916,8.308276127483339,0.95624995,121.103745,11.1475,4,0,0,0,0,0
67,2019-08-04 00:00:00,August,Itapoá,North,*,2164.50390625,1.418238343861849,241.8086916262068,0.70000005,146.515,13.91875,1,201,961258.32,0,2439.68,0
68,2019-08-15 00:00:00,August,São Francisco do Sul,North,*,2643.91796875,8.116415464969743,328.0918930643468,1.0462501,127.06125,10.718749,1,50,500000,0,570000,0
69,2019-09-19 00:00:00,September,Navegantes,Central-north,*,1009.0078125,4.529017553509812,324.3446719020997,1.1912501,104.403755,9.02875,2,0,50000,0,120000,0
70,10/14/2019,October,São Francisco do Sul,North,*,991.5703125,4.285907138518052,226.134421630977,1.0174999,107.90875,7.88125,5,0,500000,0,0,0
71,10/30/2019,October,Porto Belo,Central-north,*,1027.854248046875,1.411523999087511,249.2539197243166,0.89875,81.17875,7.7287507,3,0,0,0,0,0
72,2020-03-03 00:00:00,March,Balneário Camboriú,Central-north,*,1740.83740234375,7.879657352956409,313.5601937890343,1.7812499,99.01125,8.13125,5,0,0,0,0,0
73,2020-04-03 00:00:00,April,Balneário Rincão,South,*,615.25341796875,6.931103808196787,33.34615941416564,2.9875002,196.95874,10.1137495,3,0,0,0,0,0
73,2020-04-04 00:00:00,April,Florianópolis,Central,*,885.221435546875,14.25074033164593,39.47611112156812,3.4012501,176.73001,13.0075,3,0,0,0,0,0
73,2020-04-04 00:00:00,April,Porto Belo,Central-north,*,894.221435546875,6.579186879850732,68.23093359771667,1.38875,164.18625,12.158751,3,5,0,0,0,0
74,2020-04-08 00:00:00,April,Porto Belo,Central-north,*,1561.789794921875,10.53508898870816,342.5453996366394,1.2774999,164.035,10.28125,3,0,0,0,0,0
74,2020-04-08 00:00:00,April,Balneário Barra do Sul,North,*,1558.039794921875,10.88162671662652,330.0657226522295,1.355,156.0525,12.0824995,3,12,0,0,203825.53,0
74,2020-04-08 00:00:00,April,Balneário Rincão,South,*,1629.664794921875,13.17659288283584,29.30801146715834,3.1237497,185.79875,14.122499,3,0,0,0,0,0
75,2020-04-09 00:00:00,April,Itapoá,North,*,1510.43359375,4.720699100768869,331.5348378573452,0.89874995,154.97626,14.26375,3,0,300000,0,105000,0
76,2020-04-12 00:00:00,April,Barra Velha,North,*,1603.8359375,5.212417865060321,322.4045997946223,1.71,141.0575,12.756249,4,0,0,0,0,0
77,2020-05-07 00:00:00,May,Balneário Camboriú,Central-north,*,1482.36328125,8.596935500514123,355.4632820609308,1.2312499,157.80875,11.056251,5,0,0,0,0,0
78,2020-06-30 00:00:00,June,Bombinhas,Central-north,*,1568.550048828125,13.00271125573432,217.4691855899787,2.13625,58.982502,7.1387496,5,0,0,0,0,0
79,2020-06-30 00:00:00,June,Balneário Barra do Sul,North,*,1565.300048828125,11.2582147785517,213.111341960372,1.37125,66.263756,6.6875,5,0,0,0,0,0
