municipality_code,municipality_name,state,pop_municipality,dom_municipality,pop_1km,dom_1km,pop_2km,dom_2km,pop_5km,dom_5km,pop_10km,dom_10km
2910503,Entre Rios,BA,38142,13746,4485,1641,6224,2263,8617,3149,9759,3565
2910602,Esplanada,BA,32366,10773,597,206,597,206,1790,610,3488,1182
2908606,Conde,BA,23665,7713,4261,1383,4507,1463,6733,2145,19720,6414
2917904,Jandaíra,BA,9161,3077,785,256,963,315,1494,494,4137,1364
2802106,Estância,SE,64709,23111,1368,497,3805,1362,6231,2197,57169,20413
2803203,Itaporanga d'Ajuda,SE,34338,12170,1809,626,3358,1172,13045,4559,25872,9082
2800308,Aracaju,SE,603825,219289,36851,13822,81327,30324,317186,117991,603813,219282
2800605,Barra dos Coqueiros,SE,41447,14506,7841,2772,20502,7190,41447,14506,41447,14506
2805307,Pirambu,SE,7810,2606,4891,1584,5342,1756,6700,2212,7810,2606
2804904,Pacatuba,SE,12380,4157,1175,402,1747,599,3365,1143,6035,2044
2706802,Piaçabuçu,AL,15918,5260,1708,574,1751,595,3068,1015,12759,4211
2702306,Coruripe,AL,50402,16422,5202,1684,8707,2842,19620,6437,36897,12120
2703759,Jequiá da Praia,AL,9440,2982,1421,443,4562,1510,5802,1904,7790,2516
2704708,Marechal Deodoro,AL,60303,19623,32259,10777,54866,17994,60143,19562,60303,19623
2704302,Maceió,AL,956810,335861,151588,52880,375979,134424,727797,257388,956710,335827
2707404,Porto de Pedras,AL,9326,2858,3568,1095,7246,2232,7624,2343,8012,2465
2704500,Maragogi,AL,32034,10050,7922,2542,24408,7725,27344,8612,29706,9318
2601409,Barreiros,PE,40999,13644,637,195,637,195,1945,615,37626,12612
2602902,Cabo de Santo Agostinho,PE,203366,71812,1399,547,15398,5609,35460,12659,132206,46510
2611606,Recife,PE,1489975,548743,303542,118377,612442,235086,1242045,462612,1487647,547951
2609600,Olinda,PE,346407,126139,24614,9384,99563,36904,286120,104674,346407,126139
2606804,Igarassu,PE,115783,40733,2398,898,6398,2214,65215,22731,112161,39510
2606200,Goiana,PE,80881,27963,9853,3527,12223,4344,25131,8672,73181,25357
2511905,Pitimbu,PB,16589,5347,8686,2846,10837,3535,14564,4706,16552,5337
2503209,Cabedelo,PB,66782,22947,61260,21037,66658,22912,66782,22947,66782,22947
2512903,Rio Tinto,PB,24404,8159,715,233,1562,516,2213,721,3701,1195
2509305,Mataraca,PB,8343,2714,738,235,770,246,776,248,3863,1282
2401404,Baía Formosa,RN,8817,2782,7264,2267,7612,2369,8372,2630,8755,2764
2414209,Tibau do Sul,RN,17601,6171,10111,3661,15813,5651,17601,6171,17601,6171
2408102,Natal,RN,751406,270731,5861,2063,48057,16955,268584,101105,722364,260801
2403608,Extremoz,RN,61569,20465,2760,913,6135,2021,9560,3172,44507,14807
2407500,Maxaranguape,RN,10371,3255,4366,1439,7273,2334,7459,2391,7993,2547
2414407,Touros,RN,32894,10408,10681,3438,17320,5480,18331,5801,21001,6632
2407203,Macau,RN,27383,9671,4252,1441,6085,2063,24966,8823,25982,9193
2404101,Galinhos,RN,1672,497,1275,388,1287,391,1290,392,1290,392
2412559,São Miguel do Gostoso,RN,10382,3266,946,308,6162,1955,7025,2227,7298,2314
2404408,Grossos,RN,9728,3328,0,0,157,47,2179,761,9713,3321
2401107,Areia Branca,RN,24079,8182,2813,987,3975,1392,22990,7837,23490,8006
2410256,Porto do Mangue,RN,5177,1725,944,312,3273,1098,3281,1101,4040,1352
2411601,São Bento do Norte,RN,3028,971,1189,379,1352,433,1851,595,2526,809
2409506,Pedra Grande,RN,3659,1105,1086,316,1116,327,1426,421,3099,950
2305357,Icapuí,CE,20389,6851,2270,765,8112,2709,19136,6459,20344,6834
2301109,Aracati,CE,74637,25892,6778,2319,7437,2534,13537,4453,50423,17373
2302206,Beberibe,CE,53139,18278,6031,1997,11682,3913,31904,10823,39579,13513
2303501,Cascavel,CE,72765,25343,5598,1811,7365,2399,10484,3530,31228,10697
2301000,Aquiraz,CE,80554,28010,8645,3354,10854,4136,37172,13242,54810,19272
2303709,Caucaia,CE,355692,120772,19736,6708,37228,12447,65363,21832,283051,95993
2313500,Trairi,CE,58274,18878,6656,1983,11457,3534,31083,9928,38037,12239
2310258,Paraipaba,CE,32235,10816,0,0,439,142,3376,1113,13540,4610
2306405,Itapipoca,CE,130429,41374,2757,785,5759,1675,7723,2227,9574,2767
2205706,Luís Correia,PI,30514,9351,7403,2170,13175,3833,15644,4600,19723,5946
2202083,Cajueiro da Praia,PI,8243,2602,5278,1688,5755,1832,6436,2038,7271,2295
2302057,Barroquinha,CE,14454,4733,0,0,3681,1113,5443,1666,8185,2574
2302602,Camocim,CE,62554,20462,328,105,7260,2316,48982,16108,56264,18419
2307254,Jijoca de Jericoacoara,CE,25412,8779,2523,937,2855,1071,4119,1453,8931,3066
2304251,Cruz,CE,30227,10531,750,279,4467,1566,7104,2478,22114,7813
2300200,Acaraú,CE,64805,20845,4962,1646,8993,2963,26319,8440,49773,15998
2306553,Itarema,CE,42857,12945,8937,2534,12630,3592,31165,9267,35392,10503
2300754,Amontada,CE,41713,13109,4016,1193,7688,2253,13014,3817,16088,4719
2112506,Tutóia,MA,52212,14470,13317,3772,18447,5197,34789,9759,38971,10946
2100907,Araioses,MA,38436,11791,2390,736,4576,1347,5501,1604,17715,5400
2109452,Raposa,MA,30845,9529,8191,2497,19170,5840,30845,9529,30845,9529
2105104,Icatu,MA,24618,6862,5167,1473,10156,2843,17423,4865,22405,6262
2101707,Barreirinhas,MA,65690,18060,15,6,822,223,2660,710,2711,728
2105005,Humberto de Campos,MA,25901,7048,2239,619,2443,681,6995,1911,17154,4676
2109403,Primeira Cruz,MA,13521,3594,1439,407,4086,1153,5366,1536,7269,2019
2104909,Guimarães,MA,10285,3523,2715,916,6637,2256,8434,2873,10033,3438
2103109,Cedral,MA,9914,3106,2046,639,4906,1508,8357,2614,8996,2831
1508209,Vigia,PA,50518,15713,27340,8321,35439,10852,43426,13384,49382,15336
2101301,Bacuri,MA,16318,5156,613,188,939,278,4208,1246,6520,1944
2100832,Apicum-Açu,MA,17526,5057,30,10,30,10,7427,2031,17525,5056
2103703,Cururupu,MA,31127,9895,1966,645,3875,1264,5595,1782,29741,9421
2104305,Godofredo Viana,MA,10210,3155,710,210,1832,529,2387,698,3039,912
1508308,Viseu,PA,58873,16306,1349,382,8406,2359,23414,6516,33687,9223
2106201,Luís Domingues,MA,7169,2122,3,2,3,2,2041,603,6627,1945
1506302,Salvaterra,PA,24094,7404,10747,3290,17379,5423,21248,6575,23831,7312
1501709,Bragança,PA,122951,37067,5372,1548,10692,3057,57349,17330,107114,32527
1500909,Augusto Corrêa,PA,44304,12297,434,110,1171,304,4766,1303,31267,8755
1507102,São Caetano de Odivelas,PA,17150,5325,2184,634,8018,2429,13551,4135,14433,4416
1507474,São João de Pirabas,PA,20716,6564,6318,1965,9381,2891,14418,4490,18928,5961
1506112,Quatipuru,PA,11238,3567,13,7,286,93,9103,2850,10693,3359
1508035,Tracuateua,PA,28849,8821,10,4,331,96,860,244,4977,1483
1502905,Curuçá,PA,41000,12073,2229,630,8079,2242,25536,7390,32395,9417
1504307,Maracanã,PA,25442,7567,11135,3282,15200,4455,17233,5078,19480,5781
1507904,Soure,PA,24146,7075,9991,2923,21226,6227,23732,6913,23871,6960
1502509,Chaves,PA,19848,4552,8344,1925,11885,2767,15597,3594,17151,3954
1600303,Macapá,AP,441451,123278,27938,7517,94905,26107,303829,84938,425062,118923
1600105,Amapá,AP,8065,2100,2,2,2001,461,6791,1714,6958,1770
1600204,Calçoene,AP,10554,2798,8,4,28,11,28,11,101,38
1600501,Oiapoque,AP,27264,7078,8,2,11,3,330,78,518,118
4310330,Imbé,RS,26841,10480,3178,1328,18563,7386,26841,10480,26841,10480
4313508,Osório,RS,47228,17830,1119,426,3397,1256,3428,1267,4581,1691
4301636,Balneário Pinhal,RS,14943,6120,2457,1071,11642,4881,13387,5518,13408,5526
4323804,Xangri-lá,RS,16876,5957,7681,2817,11881,4306,16768,5919,16876,5957
4321436,Terra de Areia,RS,10368,4030,61,31,540,214,548,217,765,297
4304630,Capão da Canoa,RS,63315,23811,205,94,18712,8031,63272,23793,63315,23811
4212254,Passo de Torres,SC,12883,4746,5552,2097,10452,3863,12506,4600,12883,4746
4220000,Balneário Rincão,SC,16025,5839,810,328,8186,3121,15962,5814,16025,5839
4212304,Paulo Lopes,SC,9090,3310,0,0,10,5,658,279,8316,3015
4205407,Florianópolis,SC,536876,219963,226889,93671,394966,163595,531588,217970,536876,219963
4218004,Tijucas,SC,51595,18253,9788,3268,16146,5668,46443,16462,49288,17391
4213500,Porto Belo,SC,27606,9887,22230,8096,25427,9181,27214,9762,27606,9887
4208302,Itapema,SC,75330,27194,26401,10488,55750,21032,74314,26856,75330,27194
4208203,Itajaí,SC,263998,94096,1235,471,4685,1871,63412,24801,217579,78494
4211306,Navegantes,SC,86269,29393,2225,879,23843,8927,64329,22159,81474,27779
4212809,Balneário Piçarras,SC,27180,9864,3708,1490,10415,3935,25286,9200,26868,9746
4216602,São José,SC,271013,105903,20702,8431,111907,46630,227742,90571,269900,105498
4202305,Biguaçu,SC,76590,28256,15795,5765,43517,16268,67760,25053,74252,27376
4202107,Barra Velha,SC,45128,16103,21157,8044,36604,13319,43388,15511,44994,16058
4201307,Araquari,SC,45211,15009,1072,433,2067,760,10152,3441,29276,9768
4115705,Matinhos,PR,39200,15011,17546,6907,31977,12423,39114,14981,39200,15011
3522109,Itanhaém,SP,112541,42046,5699,2303,35727,14233,105797,39536,111936,41797
