grid_lat,grid_lon,municipality,event_id,date_start,date_end,duration_days,peak_value,peak_date,integrated_intensity
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20000925,2000-09-25,2000-09-25,1,2.74,2000-09-25,0.392
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20001015,2000-10-15,2000-10-15,1,2.45,2000-10-15,0.102
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20001105,2000-11-05,2000-11-08,4,2.5,2000-11-06,0.328
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20001115,2000-11-15,2000-11-15,1,2.45,2000-11-15,0.102
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20001130,2000-11-30,2000-12-01,2,2.44,2000-11-30,0.124
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20001216,2000-12-16,2000-12-17,2,3.04,2000-12-16,1.384
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20010228,2001-02-28,2001-02-28,1,2.41,2001-02-28,0.062
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20010505,2001-05-05,2001-05-08,4,4.57,2001-05-06,4.298
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20010515,2001-05-15,2001-05-19,4,3.62,2001-05-18,2.728
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20010618,2001-06-18,2001-06-21,4,2.87,2001-06-18,1.338
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20010627,2001-06-27,2001-06-27,1,2.47,2001-06-27,0.122
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20010712,2001-07-12,2001-07-12,1,2.51,2001-07-12,0.162
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20010722,2001-07-22,2001-07-23,2,2.69,2001-07-22,0.514
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20010905,2001-09-05,2001-09-05,1,2.53,2001-09-05,0.182
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20010911,2001-09-11,2001-09-12,2,2.65,2001-09-11,0.544
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20010916,2001-09-16,2001-09-17,2,2.87,2001-09-16,0.874
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20010927,2001-09-27,2001-10-03,7,3.41,2001-10-01,2.164
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20011007,2001-10-07,2001-10-10,4,3.62,2001-10-08,3.138
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20011017,2001-10-17,2001-10-19,3,3.23,2001-10-18,2.196
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20011027,2001-10-27,2001-10-27,1,2.35,2001-10-27,0.002
