grid_lat,grid_lon,municipality,thr_hs_abs,thr_ssh_total_abs,compound_count_total,compound_count_annual_mean,mean_overlap_duration,p95_overlap_duration,max_overlap_duration,mean_peak_lag_days,mean_compound_intensity_norm,p95_compound_intensity_norm,max_compound_intensity_norm,mean_compound_intensity_norm_abspeak,p95_compound_intensity_norm_abspeak,max_compound_intensity_norm_abspeak
-25.0,-47.2,,2.34,0.834319,206,6.24,1.52,3.0,5,-0.14,0.3767,0.7213,0.9375,0.3942,0.5601,0.6098
-24.8,-47.4,,2.04,0.901653,224,6.79,1.48,3.0,5,-0.11,0.3623,0.7158,0.891,0.3378,0.4821,0.6177
-24.8,-47.2,,2.25,0.858228,219,6.64,1.51,3.0,5,-0.17,0.3718,0.7326,0.9191,0.3761,0.5313,0.602
-24.8,-47.0,,2.36,0.817596,211,6.39,1.57,3.0,5,-0.27,0.3694,0.732,0.9522,0.3904,0.5557,0.6049
-24.8,-46.8,,2.45,0.780911,208,6.3,1.6,3.0,5,-0.24,0.3699,0.7354,1.0,0.4035,0.5581,0.6157
-24.6,-47.2,,1.99,0.873261,234,7.09,1.52,3.0,5,-0.05,0.3559,0.7202,0.8778,0.3188,0.4518,0.6157
-24.6,-47.0,,2.21,0.839026,232,7.03,1.55,3.0,5,-0.11,0.3623,0.7203,0.9081,0.3602,0.5074,0.6013
-24.6,-46.8,,2.31,0.804673,219,6.64,1.58,3.0,5,-0.19,0.362,0.7222,0.9522,0.3763,0.5247,0.6039
-24.6,-46.6,,2.44,0.771303,217,6.58,1.61,3.0,5,-0.18,0.3715,0.7437,1.0,0.4012,0.5558,0.6328
-24.4,-46.8,,2.14,0.825983,237,7.18,1.6,3.0,6,-0.08,0.3553,0.7199,0.9007,0.3415,0.4744,0.5995
-24.4,-46.6,,2.25,0.796151,239,7.24,1.59,3.0,6,-0.15,0.3574,0.7282,0.9963,0.3611,0.4994,0.603
-24.4,-46.4,,2.36,0.766907,232,7.03,1.61,3.0,5,-0.14,0.3677,0.7092,1.0,0.383,0.519,0.6347
-24.4,-46.2,,2.43,0.738325,233,7.06,1.63,3.0,5,-0.15,0.3658,0.7086,1.0,0.392,0.5284,0.6342
-24.4,-46.0,,2.5,0.709194,223,6.76,1.67,3.0,5,-0.17,0.3746,0.724,1.0,0.4053,0.5463,0.6205
-24.4,-45.2,,2.75,0.62818,163,4.94,1.77,3.0,7,-0.24,0.3549,0.6466,0.9232,0.4359,0.541,0.5937
-24.2,-46.6,,2.13,0.817998,248,7.52,1.63,3.0,6,-0.09,0.3594,0.7251,0.9485,0.338,0.466,0.5996
-24.2,-46.4,,2.22,0.792674,249,7.55,1.65,3.0,6,-0.09,0.361,0.7247,1.0,0.3546,0.4829,0.6033
-24.2,-46.2,,2.27,0.763648,245,7.43,1.66,3.0,6,-0.1,0.364,0.7194,1.0,0.3616,0.4892,0.625
-24.2,-46.0,,2.37,0.73401,239,7.24,1.66,3.0,6,-0.1,0.3728,0.7304,1.0,0.3802,0.519,0.6261
-24.2,-45.8,,2.48,0.705542,243,7.36,1.69,3.0,6,-0.12,0.3757,0.7354,1.0,0.3994,0.5531,0.6198
-24.2,-45.6,,2.52,0.679274,232,7.03,1.7,3.0,6,-0.12,0.3739,0.7292,0.9832,0.4039,0.5532,0.606
-24.2,-45.4,,2.61,0.657961,224,6.79,1.69,3.0,7,-0.16,0.3646,0.7192,0.9413,0.4158,0.5551,0.5948
-24.2,-45.2,,2.67,0.638505,197,5.97,1.78,3.0,7,-0.2,0.3622,0.6803,0.9118,0.4256,0.5469,0.5844
-24.2,-45.0,,2.718,0.623768,166,5.03,1.81,3.0,7,-0.19,0.3564,0.6606,0.8935,0.4309,0.5386,0.5804
-24.0,-46.4,,1.83,0.809732,285,8.64,1.66,3.0,5,-0.04,0.3558,0.724,0.9669,0.2798,0.401,0.5481
-24.0,-46.2,,1.92,0.785114,273,8.27,1.68,3.0,5,-0.1,0.3481,0.7245,0.9816,0.2886,0.4037,0.5584
-24.0,-46.0,,2.22,0.762976,264,8.0,1.69,3.0,6,-0.06,0.37,0.7448,1.0,0.3527,0.4837,0.6267
-24.0,-45.8,,2.23,0.736383,271,8.21,1.68,3.0,6,-0.15,0.3683,0.7613,1.0,0.352,0.5063,0.6332
-24.0,-45.6,,2.29,0.707428,254,7.7,1.71,3.0,6,-0.15,0.3758,0.7724,1.0,0.3612,0.5257,0.6234
-24.0,-45.4,,2.43,0.68058,244,7.39,1.77,3.0,7,-0.16,0.3822,0.7775,1.0,0.3859,0.553,0.6143
-24.0,-45.2,,2.53,0.653875,230,6.97,1.74,3.0,7,-0.2,0.3709,0.7345,0.9687,0.4001,0.5536,0.5985
-24.0,-45.0,,2.61,0.637267,206,6.24,1.75,3.0,7,-0.2,0.3551,0.6958,0.9057,0.4102,0.5452,0.5847
-24.0,-44.8,,2.68,0.62629,177,5.36,1.82,3.0,7,-0.07,0.3464,0.6603,0.8924,0.4191,0.5386,0.5784
-23.8,-45.8,,1.89,0.762736,298,9.03,1.72,3.15,7,-0.06,0.3726,0.7671,1.0,0.2913,0.4337,0.573
-23.8,-45.6,,1.698,0.745341,300,9.09,1.75,3.0,6,-0.08,0.364,0.7643,1.0,0.2485,0.3942,0.5344
-23.8,-45.4,,1.3,0.718577,289,8.76,1.73,3.6,6,-0.12,0.3164,0.7066,1.0,0.1499,0.2698,0.3998
-23.8,-45.2,,1.65,0.673976,225,6.82,1.61,3.0,7,-0.15,0.2922,0.6491,0.9265,0.1948,0.3005,0.4257
-23.8,-45.0,,2.4,0.656132,217,6.58,1.73,3.0,7,-0.18,0.3489,0.7236,0.9844,0.3644,0.4955,0.6016
-23.8,-44.8,,2.54,0.641542,216,6.55,1.73,3.0,7,-0.12,0.3488,0.7157,0.9403,0.3938,0.5414,0.5913
-23.8,-44.6,,2.63,0.633104,200,6.06,1.8,3.0,7,-0.11,0.3438,0.6783,0.9301,0.4103,0.5432,0.5834
